Episode	EpLen	CaptureRate	Collisions	Time(s)
0	63	1.0	0	1.6472399234771729
1	138	1.0	0	3.392918109893799
2	91	1.0	0	2.634705066680908
3	500	0.75	0	13.435187101364136
4	69	1.0	0	2.4200260639190674
5	72	1.0	0	2.0499110221862793
6	500	0.75	0	15.014467000961304
7	112	1.0	0	3.0800979137420654
8	82	1.0	0	2.146063804626465
9	130	1.0	0	2.849729061126709
10	72	1.0	0	2.163762092590332
11	114	1.0	0	2.6839730739593506
12	130	1.0	0	3.7514700889587402
13	101	1.0	0	2.9740421772003174
14	189	1.0	0	4.929346084594727
15	94	1.0	0	2.116173028945923
16	257	1.0	0	6.042524099349976
17	75	1.0	0	1.9610741138458252
18	54	1.0	0	2.7512998580932617
19	353	1.0	0	7.713315963745117
20	132	1.0	0	2.6661550998687744
21	90	1.0	0	3.0927908420562744
22	500	0.75	0	13.814005136489868
23	84	1.0	0	2.2082560062408447
24	264	1.0	0	6.183601140975952
25	45	1.0	0	1.4497098922729492
26	140	1.0	0	3.507697105407715
27	500	0.75	0	13.902592897415161
28	106	1.0	0	3.468679904937744
29	110	1.0	0	3.476564884185791
30	86	1.0	0	3.3396761417388916
31	340	1.0	0	12.088365077972412
32	194	1.0	0	5.526082992553711
33	229	1.0	0	5.378612995147705
34	47	1.0	0	1.4383323192596436
35	75	1.0	0	1.9254119396209717
36	67	1.0	0	2.002592086791992
37	140	1.0	0	4.395979166030884
38	59	1.0	0	2.4721693992614746
39	54	1.0	0	2.579087257385254
40	146	1.0	0	3.8134050369262695
41	138	1.0	0	3.4383280277252197
42	500	0.75	0	13.305330991744995
43	70	1.0	0	2.2727460861206055
44	273	1.0	0	9.961047172546387
45	500	0.75	0	11.152810096740723
46	211	1.0	0	6.037560701370239
47	500	0.75	0	13.35160207748413
48	103	1.0	0	2.98603892326355
49	53	1.0	0	2.0571582317352295
50	53	1.0	0	1.4130241870880127
51	56	1.0	0	1.8615338802337646
52	88	1.0	0	3.06663179397583
53	72	1.0	0	2.2336020469665527
54	65	1.0	0	2.2639079093933105
55	70	1.0	0	2.4770941734313965
56	85	1.0	0	3.365622043609619
57	103	1.0	0	3.591013193130493
58	113	1.0	0	4.184036016464233
59	72	1.0	0	2.8675429821014404
60	51	1.0	0	1.8800468444824219
61	99	1.0	0	3.4499378204345703
62	61	1.0	0	1.7196569442749023
63	80	1.0	0	2.036097764968872
64	166	1.0	0	4.7313551902771
65	142	1.0	0	4.47879695892334
66	135	1.0	0	4.31476902961731
67	500	0.75	0	13.486760139465332
68	77	1.0	0	2.285770893096924
69	112	1.0	0	2.784661054611206
70	181	1.0	0	5.081338167190552
71	120	1.0	0	2.4463319778442383
72	104	1.0	0	3.377441883087158
73	90	1.0	0	3.017204999923706
74	127	1.0	0	4.3961029052734375
75	74	1.0	0	2.8126258850097656
76	88	1.0	0	3.52624773979187
77	47	1.0	0	1.8315339088439941
78	118	1.0	0	4.0879340171813965
79	79	1.0	0	2.5948128700256348
80	102	1.0	0	3.310771942138672
81	74	1.0	0	2.6461329460144043
82	500	0.75	0	13.068004131317139
83	86	1.0	0	2.8844449520111084
84	83	1.0	0	3.1545639038085938
85	69	1.0	0	2.7447330951690674
86	120	1.0	0	2.757938861846924
87	420	1.0	0	11.411437034606934
88	186	1.0	0	4.100522041320801
89	115	1.0	0	3.3540239334106445
90	291	1.0	0	7.976480007171631
91	63	1.0	0	2.530182123184204
92	99	1.0	0	3.542140007019043
93	128	1.0	0	4.209278106689453
94	261	1.0	0	6.718480825424194
95	64	1.0	0	1.7148149013519287
96	106	1.0	0	2.6105117797851562
97	80	1.0	0	2.4265730381011963
98	500	0.75	0	11.160077095031738
99	112	1.0	0	4.248289108276367
