Episode	EpLen	CaptureRate	Collisions	Time(s)
0	146	1.0	0	3.3045079708099365
1	500	0.75	0	9.577155113220215
2	195	1.0	0	5.1235511302948
3	500	0.75	0	7.81502103805542
4	500	0.75	0	7.805053949356079
5	344	1.0	0	5.650816917419434
6	436	1.0	0	6.667995929718018
7	392	1.0	0	6.205676078796387
8	58	1.0	0	1.1584839820861816
9	67	1.0	0	1.6395010948181152
10	402	1.0	0	7.346695899963379
11	109	1.0	0	2.328313112258911
12	500	0.5	0	7.2917561531066895
13	500	0.75	0	7.034884929656982
14	284	1.0	0	5.296957969665527
15	67	1.0	0	2.935075283050537
16	500	0.75	0	7.7874438762664795
17	500	0.75	0	9.104466915130615
18	500	0.75	0	7.277055025100708
19	500	0.75	0	9.084246158599854
20	152	1.0	0	3.2774531841278076
21	143	1.0	0	5.158204793930054
22	237	1.0	0	5.009905815124512
23	500	0.75	0	6.5933709144592285
24	500	0.75	0	10.143854141235352
25	209	1.0	0	3.9667439460754395
26	500	0.75	0	7.775078296661377
27	500	0.75	0	7.035457134246826
28	246	1.0	0	4.332137107849121
29	500	0.5	0	8.374965906143188
30	145	1.0	0	2.768498182296753
31	379	1.0	0	5.2816548347473145
32	266	1.0	0	4.954552173614502
33	77	1.0	0	1.8679349422454834
34	500	0.75	0	9.014302015304565
35	232	1.0	0	3.967205047607422
36	67	1.0	0	1.9869341850280762
37	103	1.0	0	3.1386961936950684
38	292	1.0	0	5.141345977783203
39	114	1.0	0	3.1311488151550293
40	500	0.75	0	8.40516710281372
41	385	1.0	0	6.573570966720581
42	500	0.75	0	7.464900970458984
43	500	0.75	0	7.856198310852051
44	242	1.0	0	4.126172065734863
45	500	0.5	0	9.404247045516968
46	44	1.0	0	2.1518049240112305
47	500	0.5	0	10.837188959121704
48	34	1.0	0	1.280932903289795
49	500	0.75	0	10.591356992721558
50	500	0.75	0	7.3300299644470215
51	500	0.75	0	5.686108827590942
52	272	1.0	0	4.377921104431152
53	188	1.0	0	3.3186511993408203
54	500	0.75	0	7.945570230484009
55	126	1.0	0	3.4055659770965576
56	124	1.0	0	3.7371277809143066
57	202	1.0	0	4.215639114379883
58	61	1.0	0	2.3271830081939697
59	500	0.25	0	8.088145971298218
60	423	1.0	0	6.3747718334198
61	247	1.0	0	4.107553005218506
62	71	1.0	0	2.1460931301116943
63	488	1.0	0	6.551973819732666
64	500	0.75	0	8.283480882644653
65	96	1.0	0	2.262371778488159
66	500	0.75	0	9.235109806060791
67	500	0.75	0	8.045631885528564
68	500	0.75	0	8.870940208435059
69	500	0.75	0	6.16541600227356
70	136	1.0	0	2.816540002822876
71	218	1.0	0	3.908168077468872
72	500	0.75	0	7.963979005813599
73	345	1.0	0	5.337432146072388
74	78	1.0	0	1.6674439907073975
75	91	1.0	0	2.272926092147827
76	500	0.75	0	10.748051166534424
77	147	1.0	0	2.363377094268799
78	500	0.75	0	7.226687908172607
79	59	1.0	0	1.711496353149414
80	500	0.75	0	7.033274173736572
81	500	0.75	0	6.721683025360107
82	500	0.75	0	8.037202835083008
83	500	0.75	0	7.620382070541382
84	82	1.0	0	1.7186791896820068
85	65	1.0	0	1.970076322555542
86	500	0.75	0	9.16171908378601
87	54	1.0	0	1.32051682472229
88	109	1.0	0	1.7806849479675293
89	322	1.0	0	5.7994890213012695
90	343	1.0	0	7.128175735473633
91	126	1.0	0	2.96256422996521
92	500	0.75	0	6.611909866333008
93	40	1.0	0	1.377357006072998
94	99	1.0	0	2.517150402069092
95	69	1.0	0	1.9298198223114014
96	500	0.75	0	7.050149202346802
97	182	1.0	0	4.315962076187134
98	92	1.0	0	3.10439395904541
99	72	1.0	0	2.416245222091675
