Episode	EpLen	CaptureRate	Collisions	Time(s)
0	162	1.0	0	3.1449570655822754
1	152	1.0	0	3.8465051651000977
2	132	1.0	0	3.0118870735168457
3	85	1.0	0	2.0639829635620117
4	136	1.0	0	3.3032360076904297
5	72	1.0	0	1.9171440601348877
6	85	1.0	0	1.671924114227295
7	64	1.0	0	2.005139112472534
8	101	1.0	0	2.0390830039978027
9	95	1.0	0	3.7803609371185303
10	80	1.0	0	1.6457281112670898
11	70	1.0	0	1.7448759078979492
12	95	1.0	0	2.6221251487731934
13	279	1.0	0	4.211085081100464
14	89	1.0	0	1.9327678680419922
15	104	1.0	0	2.7143890857696533
16	184	1.0	0	3.7731800079345703
17	76	1.0	0	1.8929600715637207
18	74	1.0	0	2.085223913192749
19	129	1.0	0	2.1332991123199463
20	102	1.0	0	2.1010422706604004
21	70	1.0	0	1.63956880569458
22	147	1.0	0	3.5538530349731445
23	102	1.0	0	2.2077109813690186
24	137	1.0	0	2.929020881652832
25	128	1.0	0	2.139418125152588
26	102	1.0	0	1.983173131942749
27	138	1.0	0	2.724713087081909
28	116	1.0	0	2.7577407360076904
29	124	1.0	0	2.6061220169067383
30	85	1.0	0	2.641491174697876
31	119	1.0	0	2.5952930450439453
32	65	1.0	0	1.570955753326416
33	109	1.0	0	1.8948869705200195
34	84	1.0	0	1.9807090759277344
35	77	1.0	0	1.2671377658843994
36	92	1.0	0	2.2590198516845703
37	66	1.0	0	1.6643588542938232
38	105	1.0	0	2.0385491847991943
39	123	1.0	0	2.4952869415283203
40	221	1.0	0	3.8734421730041504
41	181	1.0	0	3.37882399559021
42	106	1.0	0	2.3716437816619873
43	94	1.0	0	2.219036102294922
44	442	1.0	0	7.020474910736084
45	164	1.0	0	2.6549620628356934
46	85	1.0	0	2.2566421031951904
47	73	1.0	0	1.573194980621338
48	74	1.0	0	1.5687057971954346
49	73	1.0	0	1.634294033050537
50	138	1.0	0	3.320032835006714
51	143	1.0	0	2.7339560985565186
52	487	1.0	0	6.999441146850586
53	59	1.0	0	1.5170481204986572
54	67	1.0	0	1.2582530975341797
55	121	1.0	0	2.488461971282959
56	72	1.0	0	1.674238920211792
57	104	1.0	0	2.4922139644622803
58	128	1.0	0	2.643544912338257
59	80	1.0	0	1.896191120147705
60	199	1.0	0	3.885025978088379
61	83	1.0	0	1.539849042892456
62	51	1.0	0	1.036850929260254
63	333	1.0	0	4.58598780632019
64	93	1.0	0	1.7740039825439453
65	122	1.0	0	2.214757204055786
66	135	1.0	0	2.2878220081329346
67	86	1.0	0	2.275852918624878
68	56	1.0	0	1.867588996887207
69	74	1.0	0	1.485964059829712
70	77	1.0	0	2.191041946411133
71	42	1.0	0	0.994495153427124
72	154	1.0	0	2.6257028579711914
73	105	1.0	0	3.0938570499420166
74	60	1.0	0	1.6159179210662842
75	57	1.0	0	1.0928089618682861
76	64	1.0	0	1.7132747173309326
77	63	1.0	0	1.7215571403503418
78	62	1.0	0	1.2856390476226807
79	116	1.0	0	3.0153510570526123
80	129	1.0	0	2.2810370922088623
81	80	1.0	0	1.5830469131469727
82	117	1.0	0	2.3670332431793213
83	327	1.0	0	4.839087247848511
84	90	1.0	0	2.4062860012054443
85	71	1.0	0	2.1454062461853027
86	142	1.0	0	2.976202964782715
87	388	1.0	0	5.533768892288208
88	140	1.0	0	2.9790380001068115
89	173	1.0	0	2.743520975112915
90	83	1.0	0	2.2576661109924316
91	163	1.0	0	3.5006778240203857
92	81	1.0	0	1.8132801055908203
93	102	1.0	0	2.3090829849243164
94	48	1.0	0	1.1182408332824707
95	152	1.0	0	2.4948878288269043
96	106	1.0	0	2.30361008644104
97	67	1.0	0	1.2396960258483887
98	126	1.0	0	1.9576129913330078
99	51	1.0	0	1.2355105876922607
