Episode	EpLen	CaptureRate	Collisions	Time(s)
0	71	1.0	0	2.237595796585083
1	266	1.0	0	5.548661947250366
2	77	1.0	0	2.3539369106292725
3	83	1.0	0	2.2157700061798096
4	500	0.75	0	13.276808023452759
5	56	1.0	0	1.8571441173553467
6	190	1.0	0	4.882848024368286
7	74	1.0	0	2.4130330085754395
8	81	1.0	0	2.3784282207489014
9	278	1.0	0	6.212778806686401
10	80	1.0	0	1.9293508529663086
11	68	1.0	0	1.8029098510742188
12	159	1.0	0	3.8582401275634766
13	77	1.0	0	2.433450937271118
14	160	1.0	0	3.797506093978882
15	82	1.0	0	2.3231699466705322
16	180	1.0	0	4.816509962081909
17	79	1.0	0	2.02205491065979
18	54	1.0	0	1.860666036605835
19	189	1.0	0	4.304147005081177
20	116	1.0	0	2.627964973449707
21	80	1.0	0	2.269429922103882
22	500	0.75	0	11.219268798828125
23	500	0.75	0	10.838349103927612
24	500	0.75	0	10.252830982208252
25	354	1.0	0	5.119199991226196
26	145	1.0	0	2.978574752807617
27	192	1.0	0	4.633196115493774
28	80	1.0	0	2.563019037246704
29	108	1.0	0	1.9854328632354736
30	68	1.0	0	2.1445958614349365
31	173	1.0	0	3.167581081390381
32	123	1.0	0	3.854686975479126
33	186	1.0	0	5.100790023803711
34	84	1.0	0	2.371811866760254
35	85	1.0	0	1.6733989715576172
36	500	0.75	0	11.734692096710205
37	102	1.0	0	2.7248318195343018
38	60	1.0	0	1.6448240280151367
39	54	1.0	0	1.1660196781158447
40	211	1.0	0	4.235824108123779
41	228	1.0	0	3.9949851036071777
42	115	1.0	0	2.995568037033081
43	55	1.0	0	1.5954527854919434
44	500	0.75	0	9.268040180206299
45	268	1.0	0	5.869934797286987
46	500	0.75	0	13.833565950393677
47	126	1.0	0	3.59710693359375
48	69	1.0	0	1.6012609004974365
49	345	1.0	0	7.847163915634155
50	56	1.0	0	1.4932219982147217
51	137	1.0	0	3.1775050163269043
52	123	1.0	0	2.821190357208252
53	500	0.75	0	8.54521918296814
54	111	1.0	0	2.2645671367645264
55	193	1.0	0	4.750582933425903
56	72	1.0	0	1.600672960281372
57	99	1.0	0	3.1330881118774414
58	65	1.0	0	1.6159498691558838
59	191	1.0	0	4.870211124420166
60	123	1.0	0	2.7499330043792725
61	89	1.0	0	2.8299548625946045
62	65	1.0	0	1.7933390140533447
63	233	1.0	0	3.2879817485809326
64	77	1.0	0	1.8824968338012695
65	69	1.0	0	1.7636990547180176
66	500	0.75	0	10.425374984741211
67	147	1.0	0	2.8733551502227783
68	130	1.0	0	3.5444211959838867
69	86	1.0	0	2.3939929008483887
70	76	1.0	0	2.18228816986084
71	42	1.0	0	0.960137128829956
72	102	1.0	0	2.714247226715088
73	128	1.0	0	3.2460789680480957
74	126	1.0	0	3.5081372261047363
75	464	1.0	0	9.56136178970337
76	91	1.0	0	2.457566976547241
77	63	1.0	0	1.769517183303833
78	65	1.0	0	1.6376278400421143
79	500	0.75	0	7.885946035385132
80	179	1.0	0	3.5819411277770996
81	85	1.0	0	2.2058088779449463
82	114	1.0	0	2.6752240657806396
83	94	1.0	0	2.094075918197632
84	69	1.0	0	1.7188138961791992
85	101	1.0	0	2.590210199356079
86	110	1.0	0	3.444957971572876
87	500	0.75	0	12.077330827713013
88	106	1.0	0	2.5122320652008057
89	500	0.75	0	11.877567052841187
90	123	1.0	0	2.7250239849090576
91	70	1.0	0	2.2909488677978516
92	72	1.0	0	2.0882251262664795
93	235	1.0	0	5.3630499839782715
94	100	1.0	0	2.15073823928833
95	500	0.75	0	10.671313047409058
96	500	0.75	0	11.559221029281616
97	118	1.0	0	2.662964344024658
98	249	1.0	0	4.660492897033691
99	98	1.0	0	2.6347901821136475
