Episode	EpLen	CaptureRate	Collisions	Time(s)
0	500	0.9375	51	5.369774103164673
1	500	0.875	28	4.88769793510437
2	500	0.9375	60	6.491842031478882
3	500	0.8125	89	4.880166292190552
4	500	0.875	75	4.95456600189209
5	321	1.0	46	3.6940150260925293
6	500	0.8125	54	5.522641897201538
7	500	0.875	73	5.9006500244140625
8	406	1.0	67	4.140783071517944
9	376	1.0	43	4.152298927307129
10	500	0.875	35	5.445483207702637
11	404	1.0	40	4.628485918045044
12	500	0.9375	67	5.359467029571533
13	500	0.9375	44	5.300978899002075
14	463	1.0	48	5.246723890304565
15	246	1.0	39	2.414318084716797
16	500	0.9375	70	6.18448281288147
17	500	0.9375	60	5.875657081604004
18	469	1.0	36	4.831086158752441
19	500	0.875	65	5.735155344009399
20	500	0.875	30	5.793408155441284
21	500	0.875	62	5.327121019363403
22	197	1.0	43	1.9892611503601074
23	500	0.9375	36	4.799822092056274
24	350	1.0	27	3.351539134979248
25	320	1.0	45	3.087203025817871
26	500	0.9375	19	4.33054518699646
27	500	0.9375	29	5.557027101516724
28	418	1.0	57	4.4522929191589355
29	500	0.875	52	5.456201076507568
30	269	1.0	59	2.776232957839966
31	101	1.0	50	0.9033191204071045
32	500	0.8125	132	4.508769989013672
33	500	0.9375	31	5.271733045578003
34	458	1.0	35	4.536124229431152
35	500	0.9375	34	5.602112770080566
36	427	1.0	34	4.878567934036255
37	500	0.875	51	5.127510070800781
38	258	1.0	36	2.565927743911743
39	500	0.875	40	5.1680073738098145
40	432	1.0	44	4.123685121536255
41	500	0.9375	25	4.9073710441589355
42	500	0.875	39	5.722761869430542
43	118	1.0	72	1.3339331150054932
44	162	1.0	23	1.8721044063568115
45	500	0.9375	38	5.1727869510650635
46	307	1.0	53	3.295440673828125
47	500	0.9375	66	5.0185558795928955
48	500	0.9375	57	5.041670083999634
49	305	1.0	29	2.7641122341156006
50	500	0.9375	52	5.354498863220215
51	383	1.0	40	3.312129020690918
52	500	0.9375	76	5.071311712265015
53	345	1.0	64	3.524369955062866
54	500	0.9375	46	5.230565071105957
55	500	0.9375	81	5.302870035171509
56	500	0.875	56	5.665234327316284
57	500	0.9375	55	5.204543352127075
58	500	0.9375	53	5.51567530632019
59	500	0.875	47	4.590632915496826
60	500	0.875	202	5.27134895324707
61	500	0.9375	62	4.317334890365601
62	500	0.9375	54	4.3777971267700195
63	194	1.0	23	1.6946969032287598
64	500	0.875	22	4.463261127471924
65	500	0.9375	45	4.789117097854614
66	448	1.0	43	5.4240710735321045
67	500	0.875	47	5.160915851593018
68	398	1.0	37	4.203523874282837
69	236	1.0	27	2.5026841163635254
70	500	0.9375	54	5.282449960708618
71	500	0.8125	43	5.10976505279541
72	500	0.9375	49	5.629591941833496
73	500	0.9375	37	5.589052200317383
74	167	1.0	26	1.7938969135284424
75	500	0.875	32	5.624230146408081
76	500	0.9375	58	5.350867748260498
77	211	1.0	29	2.153963088989258
78	500	0.875	34	5.141045093536377
79	500	0.875	18	5.762350082397461
80	378	1.0	30	3.9975481033325195
81	500	0.9375	43	4.912782192230225
82	500	0.9375	78	4.9833879470825195
83	500	0.9375	32	5.143430233001709
84	411	1.0	52	4.144922971725464
85	417	1.0	87	4.907684326171875
86	368	1.0	50	3.8560571670532227
87	500	0.9375	38	5.151207208633423
88	500	0.875	70	5.225992918014526
89	264	1.0	30	3.1424169540405273
90	500	0.9375	16	4.618068218231201
91	500	0.875	37	4.733821153640747
92	500	0.9375	28	4.460919141769409
93	394	1.0	49	3.4165961742401123
94	272	1.0	46	2.4355859756469727
95	228	1.0	60	2.6505589485168457
96	500	0.9375	51	4.8793721199035645
97	500	0.9375	62	5.824724912643433
98	500	0.8125	43	5.61180305480957
99	430	1.0	55	4.412230014801025
