Episode	EpLen	CaptureRate	Collisions	Time(s)
0	500	0.6875	6763	24.618485927581787
1	500	0.671875	5640	23.772878170013428
2	500	0.65625	6484	23.459499835968018
3	500	0.75	6757	25.811553716659546
4	500	0.59375	6400	22.7880220413208
5	500	0.78125	6180	25.155469179153442
6	500	0.703125	6168	24.35720920562744
7	500	0.71875	6525	24.90126895904541
8	500	0.609375	5686	23.795010805130005
9	500	0.65625	7247	27.052122116088867
10	500	0.6875	6024	26.39414405822754
11	500	0.671875	6409	25.410243034362793
12	500	0.65625	6583	24.96954107284546
13	500	0.703125	6583	23.32021713256836
14	500	0.609375	6792	24.290019035339355
15	500	0.65625	6173	25.229336977005005
16	500	0.609375	5538	24.99034810066223
17	500	0.59375	5994	24.706562042236328
18	500	0.65625	6881	24.83067798614502
19	500	0.609375	7245	23.691367149353027
20	500	0.59375	6110	23.945568799972534
21	500	0.75	6164	23.850173950195312
22	500	0.765625	6412	23.61061191558838
23	500	0.6875	6427	23.52279281616211
24	500	0.625	5859	22.993590116500854
25	500	0.671875	6097	24.320894956588745
26	500	0.640625	4544	23.309875965118408
27	500	0.6875	5298	22.20345401763916
28	500	0.609375	6662	23.717289924621582
29	500	0.671875	6029	24.38780426979065
30	500	0.75	5965	24.082702159881592
31	500	0.65625	5971	24.039128065109253
32	500	0.609375	6607	24.089488983154297
33	500	0.5625	6189	21.230473041534424
34	500	0.625	5399	22.445672035217285
35	500	0.609375	6610	22.709263801574707
36	500	0.734375	5708	22.902080059051514
37	500	0.671875	5978	22.655493021011353
38	500	0.640625	7249	24.22365093231201
39	500	0.6875	6936	29.108220100402832
40	500	0.671875	5426	25.614375829696655
41	500	0.578125	5491	22.48057508468628
42	500	0.65625	6847	24.29182720184326
43	500	0.734375	6507	23.768435955047607
44	500	0.671875	6279	23.000131130218506
45	500	0.765625	6672	24.33991312980652
46	500	0.65625	6072	22.817115783691406
47	500	0.671875	6825	21.953033208847046
48	500	0.53125	5733	22.891353130340576
49	500	0.6875	6333	25.511921882629395
50	500	0.640625	7422	24.234455108642578
51	500	0.625	6436	23.623997926712036
52	500	0.671875	6818	24.43099093437195
53	500	0.671875	5929	23.818542003631592
54	500	0.59375	5828	22.551833868026733
55	500	0.703125	6351	26.132626056671143
56	500	0.6875	6680	23.705054998397827
57	500	0.625	6428	23.669694900512695
58	500	0.65625	6010	25.03881025314331
59	500	0.6875	6221	24.814443111419678
60	500	0.640625	5570	24.465627908706665
61	500	0.65625	5735	23.285436153411865
62	500	0.671875	6316	24.1196391582489
63	500	0.65625	5565	26.217283725738525
64	500	0.71875	6285	25.533661127090454
65	500	0.6875	6310	27.07007884979248
66	500	0.59375	5932	25.964491844177246
67	500	0.59375	5547	23.155804872512817
68	500	0.65625	6281	22.144064903259277
69	500	0.734375	6986	22.27110004425049
70	500	0.59375	6889	22.071765184402466
71	500	0.71875	6880	24.823397159576416
72	500	0.5	6279	22.520484685897827
73	500	0.625	5250	22.15209197998047
74	500	0.609375	7103	23.92636013031006
75	500	0.671875	5115	23.80063486099243
76	500	0.734375	4357	24.45510697364807
77	500	0.625	6244	23.404272317886353
78	500	0.640625	5803	22.673787117004395
79	500	0.734375	5985	25.89713716506958
80	500	0.65625	7197	23.380033016204834
81	500	0.625	6720	23.755976915359497
82	500	0.703125	4908	24.85782814025879
83	500	0.71875	7306	24.998794078826904
84	500	0.609375	8132	25.029356956481934
85	500	0.578125	5543	22.643723011016846
86	500	0.53125	6772	22.750020265579224
87	500	0.71875	6075	23.360332012176514
88	500	0.65625	4636	20.171167850494385
89	500	0.609375	5575	21.463982820510864
90	500	0.6875	5732	23.98894715309143
91	500	0.71875	6225	24.434667825698853
92	500	0.6875	5650	22.88179111480713
93	500	0.640625	6039	23.793769121170044
94	500	0.6875	5496	24.263265132904053
95	500	0.71875	6144	24.43715000152588
96	500	0.625	5788	24.979487419128418
97	500	0.640625	7047	25.698517084121704
98	500	0.640625	6044	24.09071397781372
99	500	0.609375	5253	22.54906392097473
