Episode	EpLen	CaptureRate	Collisions	Time(s)
0	500	0.5	21	1.0912680625915527
1	500	0.5	2	1.0215301513671875
2	500	0.5	3	0.971686840057373
3	238	1.0	2	0.5097930431365967
4	500	0.5	6	1.075481653213501
5	500	0.5	0	1.042921781539917
6	500	0.5	4	1.0667378902435303
7	500	0.5	6	0.9976201057434082
8	500	0.5	0	0.9880599975585938
9	500	0.5	2	1.0458753108978271
10	500	0.0	1	0.9883708953857422
11	500	0.5	0	1.0281071662902832
12	211	1.0	0	0.4027829170227051
13	500	0.5	2	0.981003999710083
14	500	0.5	1	0.9540572166442871
15	153	1.0	0	0.35196399688720703
16	500	0.0	3	1.0317738056182861
17	500	0.5	4	0.9415907859802246
18	500	0.5	1	0.9423530101776123
19	500	0.5	0	0.9446730613708496
20	500	0.0	0	0.9888110160827637
21	61	1.0	0	0.1286027431488037
22	500	0.5	2	0.9521749019622803
23	500	0.5	3	0.9820711612701416
24	393	1.0	0	0.8108780384063721
25	500	0.5	4	1.0077438354492188
26	500	0.0	0	1.055393934249878
27	500	0.0	0	1.0823988914489746
28	500	0.5	9	1.0557682514190674
29	500	0.5	2	1.1134538650512695
30	500	0.5	1	0.951207160949707
31	500	0.5	0	1.112835168838501
32	500	0.0	1	1.0286450386047363
33	302	1.0	3	0.5822820663452148
34	500	0.5	0	0.9366908073425293
35	500	0.0	0	1.043414831161499
36	500	0.5	3	1.0219829082489014
37	163	1.0	0	0.31792783737182617
38	500	0.5	7	1.1952629089355469
39	197	1.0	1	0.37810778617858887
40	500	0.0	0	0.9911820888519287
41	500	0.5	3	0.9858112335205078
42	500	0.5	0	0.9409022331237793
43	500	0.0	2	1.0052342414855957
44	500	0.5	1	1.151029109954834
45	500	0.0	2	1.0963499546051025
46	500	0.5	1	0.9701511859893799
47	500	0.5	35	0.9263300895690918
48	477	1.0	4	0.9074230194091797
49	500	0.5	0	0.956995964050293
50	148	1.0	0	0.29676008224487305
51	162	1.0	1	0.3140380382537842
52	500	0.5	54	0.942781925201416
53	500	0.5	0	0.9924600124359131
54	500	0.0	0	1.1054670810699463
55	500	0.5	4	1.112415075302124
56	500	0.0	4	1.0701866149902344
57	500	0.5	7	1.0970113277435303
58	500	0.5	1	1.0368638038635254
59	500	0.5	5	0.9474968910217285
60	500	0.5	4	0.9762277603149414
61	500	0.5	3	0.943183183670044
62	500	0.5	5	0.9478011131286621
63	500	0.0	3	0.9983270168304443
64	500	0.5	16	0.9581899642944336
65	500	0.5	19	0.9485743045806885
66	500	0.5	16	0.9365561008453369
67	500	0.5	4	0.9691269397735596
68	500	0.5	6	0.9389410018920898
69	333	1.0	4	0.6424751281738281
70	500	0.0	2	0.9841971397399902
71	500	0.5	0	0.9391930103302002
72	500	0.5	1	0.9461588859558105
73	295	1.0	0	0.5745849609375
74	500	0.5	10	0.9463770389556885
75	500	0.0	1	0.9804379940032959
76	347	1.0	5	0.6583900451660156
77	500	0.5	1	0.9480593204498291
78	500	0.5	8	0.9773828983306885
79	369	1.0	3	0.724816083908081
80	500	0.5	6	0.945357084274292
81	500	0.0	2	0.9998228549957275
82	500	0.5	2	0.9359619617462158
83	500	0.5	1	0.9408178329467773
84	500	0.5	12	0.9445302486419678
85	125	1.0	0	0.24534893035888672
86	500	0.0	1	0.9675860404968262
87	500	0.0	3	0.9954748153686523
88	500	0.0	3	0.9872701168060303
89	500	0.5	0	0.9414751529693604
90	500	0.5	4	0.9482009410858154
91	500	0.5	5	0.9782111644744873
92	500	0.5	7	0.9515540599822998
93	500	0.5	6	1.0868520736694336
94	500	0.5	0	1.1693711280822754
95	363	1.0	2	0.8194329738616943
96	500	0.5	2	0.9819667339324951
97	500	0.5	0	1.076429843902588
98	500	0.5	0	1.455575942993164
99	500	0.5	2	1.0205190181732178
