/Users/lijunsun/anaconda3/envs/myenv37/bin/python /Users/lijunsun/Workspace/multiple_preys_pursuit_pomg/test_sop_statistical_results.py
Command: python run_sop.py  --x_size=40 --y_size=40 --n_pursuers=256 --n_targets=64 --n_episodes=100
Seed   0 	 Episode   0 	 EpLen 76 	 CaptureRate 1.000 	 Collisions 0 Time 59.523
Seed   1 	 Episode   1 	 EpLen 64 	 CaptureRate 1.000 	 Collisions 0 Time 46.400
Seed   2 	 Episode   2 	 EpLen 37 	 CaptureRate 1.000 	 Collisions 0 Time 32.103
Seed   3 	 Episode   3 	 EpLen 55 	 CaptureRate 1.000 	 Collisions 0 Time 46.285
Seed   4 	 Episode   4 	 EpLen 46 	 CaptureRate 1.000 	 Collisions 0 Time 37.379
Seed   5 	 Episode   5 	 EpLen 79 	 CaptureRate 1.000 	 Collisions 0 Time 54.285
Seed   6 	 Episode   6 	 EpLen 91 	 CaptureRate 1.000 	 Collisions 0 Time 58.900
Seed   7 	 Episode   7 	 EpLen 72 	 CaptureRate 1.000 	 Collisions 0 Time 49.604
Seed   8 	 Episode   8 	 EpLen 500 	 CaptureRate 0.984 	 Collisions 0 Time 283.040
Seed   9 	 Episode   9 	 EpLen 53 	 CaptureRate 1.000 	 Collisions 0 Time 40.790
Seed  10 	 Episode  10 	 EpLen 165 	 CaptureRate 1.000 	 Collisions 0 Time 88.913
Seed  11 	 Episode  11 	 EpLen 74 	 CaptureRate 1.000 	 Collisions 0 Time 50.587
Seed  12 	 Episode  12 	 EpLen 69 	 CaptureRate 1.000 	 Collisions 0 Time 46.394
Seed  13 	 Episode  13 	 EpLen 500 	 CaptureRate 0.984 	 Collisions 0 Time 259.655
Seed  14 	 Episode  14 	 EpLen 88 	 CaptureRate 1.000 	 Collisions 0 Time 55.638
Seed  15 	 Episode  15 	 EpLen 45 	 CaptureRate 1.000 	 Collisions 0 Time 35.599
Seed  16 	 Episode  16 	 EpLen 65 	 CaptureRate 1.000 	 Collisions 0 Time 43.411
Seed  17 	 Episode  17 	 EpLen 105 	 CaptureRate 1.000 	 Collisions 0 Time 59.109
Seed  18 	 Episode  18 	 EpLen 500 	 CaptureRate 0.984 	 Collisions 0 Time 256.913
Seed  19 	 Episode  19 	 EpLen 44 	 CaptureRate 1.000 	 Collisions 0 Time 33.521
Seed  20 	 Episode  20 	 EpLen 53 	 CaptureRate 1.000 	 Collisions 0 Time 39.558
Seed  21 	 Episode  21 	 EpLen 117 	 CaptureRate 1.000 	 Collisions 0 Time 78.072
Seed  22 	 Episode  22 	 EpLen 45 	 CaptureRate 1.000 	 Collisions 0 Time 36.894
Seed  23 	 Episode  23 	 EpLen 33 	 CaptureRate 1.000 	 Collisions 0 Time 27.933
Seed  24 	 Episode  24 	 EpLen 43 	 CaptureRate 1.000 	 Collisions 0 Time 34.803
Seed  25 	 Episode  25 	 EpLen 64 	 CaptureRate 1.000 	 Collisions 0 Time 43.613
Seed  26 	 Episode  26 	 EpLen 284 	 CaptureRate 1.000 	 Collisions 0 Time 155.777
Seed  27 	 Episode  27 	 EpLen 74 	 CaptureRate 1.000 	 Collisions 0 Time 52.115
Seed  28 	 Episode  28 	 EpLen 50 	 CaptureRate 1.000 	 Collisions 0 Time 34.887
Seed  29 	 Episode  29 	 EpLen 90 	 CaptureRate 1.000 	 Collisions 0 Time 53.251
Seed  30 	 Episode  30 	 EpLen 83 	 CaptureRate 1.000 	 Collisions 0 Time 58.030
Seed  31 	 Episode  31 	 EpLen 102 	 CaptureRate 1.000 	 Collisions 0 Time 67.193
Seed  32 	 Episode  32 	 EpLen 58 	 CaptureRate 1.000 	 Collisions 0 Time 41.710
Seed  33 	 Episode  33 	 EpLen 83 	 CaptureRate 1.000 	 Collisions 0 Time 57.773
Seed  34 	 Episode  34 	 EpLen 63 	 CaptureRate 1.000 	 Collisions 0 Time 46.393
Seed  35 	 Episode  35 	 EpLen 41 	 CaptureRate 1.000 	 Collisions 0 Time 31.183
Seed  36 	 Episode  36 	 EpLen 500 	 CaptureRate 0.969 	 Collisions 0 Time 282.710
Seed  37 	 Episode  37 	 EpLen 81 	 CaptureRate 1.000 	 Collisions 0 Time 59.357
Seed  38 	 Episode  38 	 EpLen 133 	 CaptureRate 1.000 	 Collisions 0 Time 78.601
Seed  39 	 Episode  39 	 EpLen 40 	 CaptureRate 1.000 	 Collisions 0 Time 31.554
Seed  40 	 Episode  40 	 EpLen 43 	 CaptureRate 1.000 	 Collisions 0 Time 30.855
Seed  41 	 Episode  41 	 EpLen 68 	 CaptureRate 1.000 	 Collisions 0 Time 45.863
Seed  42 	 Episode  42 	 EpLen 77 	 CaptureRate 1.000 	 Collisions 0 Time 49.160
Seed  43 	 Episode  43 	 EpLen 123 	 CaptureRate 1.000 	 Collisions 0 Time 75.319
Seed  44 	 Episode  44 	 EpLen 53 	 CaptureRate 1.000 	 Collisions 0 Time 40.402
Seed  45 	 Episode  45 	 EpLen 67 	 CaptureRate 1.000 	 Collisions 0 Time 48.027
Seed  46 	 Episode  46 	 EpLen 53 	 CaptureRate 1.000 	 Collisions 0 Time 37.923
Seed  47 	 Episode  47 	 EpLen 127 	 CaptureRate 1.000 	 Collisions 0 Time 69.094
Seed  48 	 Episode  48 	 EpLen 64 	 CaptureRate 1.000 	 Collisions 0 Time 45.653
Seed  49 	 Episode  49 	 EpLen 63 	 CaptureRate 1.000 	 Collisions 0 Time 43.779
Seed  50 	 Episode  50 	 EpLen 100 	 CaptureRate 1.000 	 Collisions 0 Time 60.044
Seed  51 	 Episode  51 	 EpLen 256 	 CaptureRate 1.000 	 Collisions 0 Time 134.441
Seed  52 	 Episode  52 	 EpLen 146 	 CaptureRate 1.000 	 Collisions 0 Time 88.325
Seed  53 	 Episode  53 	 EpLen 65 	 CaptureRate 1.000 	 Collisions 0 Time 43.042
Seed  54 	 Episode  54 	 EpLen 155 	 CaptureRate 1.000 	 Collisions 0 Time 90.171
Seed  55 	 Episode  55 	 EpLen 104 	 CaptureRate 1.000 	 Collisions 0 Time 72.098
Seed  56 	 Episode  56 	 EpLen 72 	 CaptureRate 1.000 	 Collisions 0 Time 52.508
Seed  57 	 Episode  57 	 EpLen 73 	 CaptureRate 1.000 	 Collisions 0 Time 51.123
Seed  58 	 Episode  58 	 EpLen 53 	 CaptureRate 1.000 	 Collisions 0 Time 39.420
Seed  59 	 Episode  59 	 EpLen 276 	 CaptureRate 1.000 	 Collisions 0 Time 148.679
Seed  60 	 Episode  60 	 EpLen 500 	 CaptureRate 0.984 	 Collisions 0 Time 254.157
Seed  61 	 Episode  61 	 EpLen 234 	 CaptureRate 1.000 	 Collisions 0 Time 121.984
Seed  62 	 Episode  62 	 EpLen 65 	 CaptureRate 1.000 	 Collisions 0 Time 42.200
