(myenv37) > $                                                                  
                                                                                
lijunsun@LJS-MacBook-Pro ~/Workspace/multiple_preys_pursuit_pomg     [13:19:58]
(myenv37) > $ python test_sop_statistical_results.py                           
Command: python run_sop.py  --x_size=80 --y_size=80 --n_pursuers=4 --n_targets=1 --n_episodes=100
Seed   0 	 Episode   0 	 EpLen 500 	 CaptureRate 0.000 	 Collisions 0 Time 2.599
Seed   1 	 Episode   1 	 EpLen 156 	 CaptureRate 1.000 	 Collisions 0 Time 0.895
Seed   2 	 Episode   2 	 EpLen 289 	 CaptureRate 1.000 	 Collisions 0 Time 1.639
Seed   3 	 Episode   3 	 EpLen 202 	 CaptureRate 1.000 	 Collisions 0 Time 0.966
Seed   4 	 Episode   4 	 EpLen 500 	 CaptureRate 0.000 	 Collisions 0 Time 2.750
Seed   5 	 Episode   5 	 EpLen 393 	 CaptureRate 1.000 	 Collisions 0 Time 1.801
Seed   6 	 Episode   6 	 EpLen 140 	 CaptureRate 1.000 	 Collisions 0 Time 0.762
Seed   7 	 Episode   7 	 EpLen 317 	 CaptureRate 1.000 	 Collisions 0 Time 1.790
Seed   8 	 Episode   8 	 EpLen 161 	 CaptureRate 1.000 	 Collisions 0 Time 1.091
Seed   9 	 Episode   9 	 EpLen 49 	 CaptureRate 1.000 	 Collisions 0 Time 0.321
Seed  10 	 Episode  10 	 EpLen 244 	 CaptureRate 1.000 	 Collisions 0 Time 1.085
Seed  11 	 Episode  11 	 EpLen 246 	 CaptureRate 1.000 	 Collisions 0 Time 1.133
Seed  12 	 Episode  12 	 EpLen 145 	 CaptureRate 1.000 	 Collisions 0 Time 0.827
Seed  13 	 Episode  13 	 EpLen 101 	 CaptureRate 1.000 	 Collisions 0 Time 0.825
Seed  14 	 Episode  14 	 EpLen 394 	 CaptureRate 1.000 	 Collisions 0 Time 2.161
Seed  15 	 Episode  15 	 EpLen 232 	 CaptureRate 1.000 	 Collisions 0 Time 1.195
Seed  16 	 Episode  16 	 EpLen 500 	 CaptureRate 0.000 	 Collisions 0 Time 1.801
Seed  17 	 Episode  17 	 EpLen 226 	 CaptureRate 1.000 	 Collisions 0 Time 1.579
Seed  18 	 Episode  18 	 EpLen 435 	 CaptureRate 1.000 	 Collisions 0 Time 2.869
Seed  19 	 Episode  19 	 EpLen 500 	 CaptureRate 0.000 	 Collisions 0 Time 2.230
Seed  20 	 Episode  20 	 EpLen 500 	 CaptureRate 0.000 	 Collisions 0 Time 1.708
Seed  21 	 Episode  21 	 EpLen 151 	 CaptureRate 1.000 	 Collisions 0 Time 0.840
Seed  22 	 Episode  22 	 EpLen 387 	 CaptureRate 1.000 	 Collisions 0 Time 2.214
Seed  23 	 Episode  23 	 EpLen 500 	 CaptureRate 0.000 	 Collisions 0 Time 1.763
Seed  24 	 Episode  24 	 EpLen 500 	 CaptureRate 0.000 	 Collisions 0 Time 1.677
Seed  25 	 Episode  25 	 EpLen 85 	 CaptureRate 1.000 	 Collisions 0 Time 0.609
Seed  26 	 Episode  26 	 EpLen 188 	 CaptureRate 1.000 	 Collisions 0 Time 1.119
Seed  27 	 Episode  27 	 EpLen 353 	 CaptureRate 1.000 	 Collisions 0 Time 2.371
Seed  28 	 Episode  28 	 EpLen 500 	 CaptureRate 0.000 	 Collisions 0 Time 2.841
Seed  29 	 Episode  29 	 EpLen 328 	 CaptureRate 1.000 	 Collisions 0 Time 1.777
Seed  30 	 Episode  30 	 EpLen 232 	 CaptureRate 1.000 	 Collisions 0 Time 1.441
Seed  31 	 Episode  31 	 EpLen 500 	 CaptureRate 0.000 	 Collisions 0 Time 2.079
Seed  32 	 Episode  32 	 EpLen 327 	 CaptureRate 1.000 	 Collisions 0 Time 1.951
Seed  33 	 Episode  33 	 EpLen 238 	 CaptureRate 1.000 	 Collisions 0 Time 1.571
Seed  34 	 Episode  34 	 EpLen 91 	 CaptureRate 1.000 	 Collisions 0 Time 0.711
Seed  35 	 Episode  35 	 EpLen 380 	 CaptureRate 1.000 	 Collisions 0 Time 2.410
Seed  36 	 Episode  36 	 EpLen 500 	 CaptureRate 0.000 	 Collisions 0 Time 1.954
Seed  37 	 Episode  37 	 EpLen 386 	 CaptureRate 1.000 	 Collisions 0 Time 2.392
Seed  38 	 Episode  38 	 EpLen 476 	 CaptureRate 1.000 	 Collisions 0 Time 3.030
Seed  39 	 Episode  39 	 EpLen 500 	 CaptureRate 0.000 	 Collisions 0 Time 1.962
Seed  40 	 Episode  40 	 EpLen 500 	 CaptureRate 0.000 	 Collisions 0 Time 1.836
Seed  41 	 Episode  41 	 EpLen 500 	 CaptureRate 0.000 	 Collisions 0 Time 2.598
Seed  42 	 Episode  42 	 EpLen 366 	 CaptureRate 1.000 	 Collisions 0 Time 2.588
Seed  43 	 Episode  43 	 EpLen 277 	 CaptureRate 1.000 	 Collisions 0 Time 1.802
Seed  44 	 Episode  44 	 EpLen 294 	 CaptureRate 1.000 	 Collisions 0 Time 1.358
Seed  45 	 Episode  45 	 EpLen 500 	 CaptureRate 0.000 	 Collisions 0 Time 2.795
Seed  46 	 Episode  46 	 EpLen 500 	 CaptureRate 0.000 	 Collisions 0 Time 1.592
Seed  47 	 Episode  47 	 EpLen 500 	 CaptureRate 0.000 	 Collisions 0 Time 2.167
Seed  48 	 Episode  48 	 EpLen 500 	 CaptureRate 0.000 	 Collisions 0 Time 2.005
Seed  49 	 Episode  49 	 EpLen 500 	 CaptureRate 0.000 	 Collisions 0 Time 2.118
Seed  50 	 Episode  50 	 EpLen 312 	 CaptureRate 1.000 	 Collisions 0 Time 1.864
Seed  51 	 Episode  51 	 EpLen 500 	 CaptureRate 0.000 	 Collisions 0 Time 1.815
Seed  52 	 Episode  52 	 EpLen 500 	 CaptureRate 0.000 	 Collisions 0 Time 2.783
Seed  53 	 Episode  53 	 EpLen 193 	 CaptureRate 1.000 	 Collisions 0 Time 0.976
Seed  54 	 Episode  54 	 EpLen 432 	 CaptureRate 1.000 	 Collisions 0 Time 2.313
Seed  55 	 Episode  55 	 EpLen 319 	 CaptureRate 1.000 	 Collisions 0 Time 1.476
Seed  56 	 Episode  56 	 EpLen 342 	 CaptureRate 1.000 	 Collisions 0 Time 1.958
Seed  57 	 Episode  57 	 EpLen 468 	 CaptureRate 1.000 	 Collisions 0 Time 1.591
Seed  58 	 Episode  58 	 EpLen 500 	 CaptureRate 0.000 	 Collisions 0 Time 1.945
Seed  59 	 Episode  59 	 EpLen 327 	 CaptureRate 1.000 	 Collisions 0 Time 1.966
Seed  60 	 Episode  60 	 EpLen 219 	 CaptureRate 1.000 	 Collisions 0 Time 0.872
Seed  61 	 Episode  61 	 EpLen 186 	 CaptureRate 1.000 	 Collisions 0 Time 1.081
Seed  62 	 Episode  62 	 EpLen 143 	 CaptureRate 1.000 	 Collisions 0 Time 0.791
Seed  63 	 Episode  63 	 EpLen 238 	 CaptureRate 1.000 	 Collisions 0 Time 1.190
Seed  64 	 Episode  64 	 EpLen 293 	 CaptureRate 1.000 	 Collisions 0 Time 1.267
