Episode	EpLen	CaptureRate	Collisions	Time(s)
0	76	1.0	0	59.52253007888794
1	64	1.0	0	46.39986515045166
2	37	1.0	0	32.102723836898804
3	55	1.0	0	46.284982204437256
4	46	1.0	0	37.3788321018219
5	79	1.0	0	54.28492283821106
6	91	1.0	0	58.89977717399597
7	72	1.0	0	49.604247093200684
8	500	0.984375	0	283.04008388519287
9	53	1.0	0	40.79031991958618
10	165	1.0	0	88.9131817817688
11	74	1.0	0	50.587299823760986
12	69	1.0	0	46.394315004348755
13	500	0.984375	0	259.65521478652954
14	88	1.0	0	55.6381139755249
15	45	1.0	0	35.59928798675537
16	65	1.0	0	43.41123294830322
17	105	1.0	0	59.10862588882446
18	500	0.984375	0	256.91264605522156
19	44	1.0	0	33.52149319648743
20	53	1.0	0	39.5582001209259
21	117	1.0	0	78.07199287414551
22	45	1.0	0	36.89366292953491
23	33	1.0	0	27.932517290115356
24	43	1.0	0	34.80318784713745
25	64	1.0	0	43.612579107284546
26	284	1.0	0	155.77663707733154
27	74	1.0	0	52.114556074142456
28	50	1.0	0	34.88687705993652
29	90	1.0	0	53.25144910812378
30	83	1.0	0	58.03027129173279
31	102	1.0	0	67.19348311424255
32	58	1.0	0	41.71037483215332
33	83	1.0	0	57.773195028305054
34	63	1.0	0	46.392714977264404
35	41	1.0	0	31.183290243148804
36	500	0.96875	0	282.710337638855
37	81	1.0	0	59.357227087020874
38	133	1.0	0	78.60105085372925
39	40	1.0	0	31.55415391921997
40	43	1.0	0	30.85474991798401
41	68	1.0	0	45.863259077072144
42	77	1.0	0	49.160134077072144
43	123	1.0	0	75.31896591186523
44	53	1.0	0	40.40190887451172
45	67	1.0	0	48.0265052318573
46	53	1.0	0	37.92260122299194
47	127	1.0	0	69.09444880485535
48	64	1.0	0	45.653250217437744
49	63	1.0	0	43.77926683425903
50	100	1.0	0	60.043848752975464
51	256	1.0	0	134.44074606895447
52	146	1.0	0	88.3245620727539
53	65	1.0	0	43.0419819355011
54	155	1.0	0	90.17053818702698
55	104	1.0	0	72.09772205352783
56	72	1.0	0	52.50824022293091
57	73	1.0	0	51.12263488769531
58	53	1.0	0	39.42044281959534
59	276	1.0	0	148.67923998832703
60	500	0.984375	0	254.15691590309143
61	234	1.0	0	121.98440790176392
62	65	1.0	0	42.1999990940094
63	61	1.0	0	40.787039041519165
64	64	1.0	0	42.41201829910278
65	37	1.0	0	30.599205017089844
66	43	1.0	0	33.14889979362488
67	65	1.0	0	41.76151895523071
68	58	1.0	0	47.31356477737427
69	49	1.0	0	37.216702938079834
70	39	1.0	0	31.205147981643677
71	69	1.0	0	47.890870094299316
72	500	0.984375	0	285.2813379764557
73	72	1.0	0	49.48083710670471
74	61	1.0	0	42.16553711891174
75	69	1.0	0	45.049349784851074
76	45	1.0	0	33.26185917854309
77	78	1.0	0	55.10906505584717
78	91	1.0	0	59.0026638507843
79	73	1.0	0	50.136194944381714
80	68	1.0	0	51.85817193984985
81	55	1.0	0	41.16171216964722
82	30	1.0	0	25.827241897583008
83	101	1.0	0	64.4186737537384
84	184	1.0	0	107.15316200256348
85	267	1.0	0	146.92442321777344
86	34	1.0	0	29.252936124801636
87	65	1.0	0	44.250529050827026
88	278	1.0	0	147.7169988155365
89	45	1.0	0	36.48993182182312
90	89	1.0	0	73.61509299278259
91	52	1.0	0	43.246171712875366
92	35	1.0	0	32.42319631576538
93	153	1.0	0	92.08653616905212
94	37	1.0	0	30.756391763687134
95	62	1.0	0	44.65287899971008
96	49	1.0	0	35.36487889289856
97	46	1.0	0	38.04800009727478
98	500	0.984375	0	243.09712100028992
99	57	1.0	0	44.00347185134888
