Episode	EpLen	CaptureRate	Collisions	Time(s)
0	5	1.0	0	0.09266114234924316
1	5	1.0	0	0.07032895088195801
2	4	1.0	0	0.06770205497741699
3	6	1.0	0	0.09919404983520508
4	4	1.0	0	0.05312013626098633
5	5	1.0	0	0.08129477500915527
6	4	1.0	0	0.059384822845458984
7	6	1.0	0	0.08094096183776855
8	2	1.0	0	0.02639293670654297
9	4	1.0	0	0.05038619041442871
10	5	1.0	0	0.07319307327270508
11	10	1.0	0	0.1423649787902832
12	4	1.0	0	0.05499601364135742
13	4	1.0	0	0.054025888442993164
14	6	1.0	0	0.08651995658874512
15	12	1.0	0	0.15320277214050293
16	4	1.0	0	0.044876813888549805
17	5	1.0	0	0.062116146087646484
18	6	1.0	0	0.10464096069335938
19	5	1.0	0	0.06446003913879395
20	6	1.0	0	0.06793904304504395
21	3	1.0	0	0.06156635284423828
22	3	1.0	0	0.04408526420593262
23	2	1.0	0	0.027991056442260742
24	2	1.0	0	0.03204798698425293
25	4	1.0	0	0.07550907135009766
26	4	1.0	0	0.05018496513366699
27	4	1.0	0	0.06379318237304688
28	5	1.0	0	0.058756113052368164
29	3	1.0	0	0.04965925216674805
30	4	1.0	0	0.06390976905822754
31	4	1.0	0	0.09524083137512207
32	11	1.0	0	0.25412487983703613
33	6	1.0	0	0.14129424095153809
34	5	1.0	0	0.08805489540100098
35	5	1.0	0	0.07334589958190918
36	7	1.0	0	0.10351896286010742
37	8	1.0	0	0.1385962963104248
38	5	1.0	0	0.07323980331420898
39	8	1.0	0	0.1063089370727539
40	5	1.0	0	0.057807207107543945
41	3	1.0	0	0.0392918586730957
42	5	1.0	0	0.06308984756469727
43	5	1.0	0	0.06577825546264648
44	7	1.0	0	0.09453797340393066
45	3	1.0	0	0.03201699256896973
46	3	1.0	0	0.04349374771118164
47	8	1.0	0	0.10426497459411621
48	6	1.0	0	0.07686972618103027
49	4	1.0	0	0.05106711387634277
50	8	1.0	0	0.09042882919311523
51	5	1.0	0	0.06703305244445801
52	3	1.0	0	0.04188108444213867
53	6	1.0	0	0.08259367942810059
54	6	1.0	0	0.0813291072845459
55	6	1.0	0	0.06616997718811035
56	9	1.0	0	0.11442995071411133
57	5	1.0	0	0.06679701805114746
58	6	1.0	0	0.0773477554321289
59	3	1.0	0	0.040856122970581055
60	4	1.0	0	0.050440073013305664
61	3	1.0	0	0.03689908981323242
62	4	1.0	0	0.046658992767333984
63	6	1.0	0	0.08334517478942871
64	8	1.0	0	0.1038961410522461
65	9	1.0	0	0.12464499473571777
66	4	1.0	0	0.050570011138916016
67	7	1.0	0	0.0848550796508789
68	6	1.0	0	0.06885099411010742
69	6	1.0	0	0.08100676536560059
70	5	1.0	0	0.06368708610534668
71	4	1.0	0	0.06265592575073242
72	3	1.0	0	0.042936086654663086
73	5	1.0	0	0.07129597663879395
74	4	1.0	0	0.05641293525695801
75	5	1.0	0	0.07736086845397949
76	9	1.0	0	0.12096571922302246
77	4	1.0	0	0.05276894569396973
78	3	1.0	0	0.0386509895324707
79	4	1.0	0	0.047183990478515625
80	4	1.0	0	0.050791025161743164
81	4	1.0	0	0.0542452335357666
82	7	1.0	0	0.09511208534240723
83	7	1.0	0	0.09362077713012695
84	9	1.0	0	0.11542010307312012
85	6	1.0	0	0.07883214950561523
86	3	1.0	0	0.0396728515625
87	4	1.0	0	0.04979205131530762
88	4	1.0	0	0.045007944107055664
89	4	1.0	0	0.05884981155395508
90	8	1.0	0	0.09360170364379883
91	3	1.0	0	0.046163320541381836
92	5	1.0	0	0.04743599891662598
93	7	1.0	0	0.0942840576171875
94	5	1.0	0	0.07290077209472656
95	9	1.0	0	0.12697696685791016
96	4	1.0	0	0.04850578308105469
97	6	1.0	0	0.07151508331298828
98	5	1.0	0	0.06721210479736328
99	3	1.0	0	0.03663206100463867
