Episode	EpLen	CaptureRate	Collisions	Time(s)
0	4	1.0	0	0.021744251251220703
1	5	1.0	0	0.02547001838684082
2	4	1.0	0	0.025550127029418945
3	500	0.0	498	3.0537033081054688
4	3	1.0	0	0.015069007873535156
5	5	1.0	0	0.044461965560913086
6	4	1.0	0	0.02173900604248047
7	6	1.0	0	0.029471158981323242
8	3	1.0	0	0.016286134719848633
9	6	1.0	0	0.0308990478515625
10	7	1.0	0	0.03403115272521973
11	5	1.0	0	0.027507781982421875
12	4	1.0	0	0.02001810073852539
13	4	1.0	0	0.019623994827270508
14	7	1.0	0	0.047120094299316406
15	5	1.0	0	0.02661919593811035
16	4	1.0	1	0.01969289779663086
17	5	1.0	0	0.0249478816986084
18	3	1.0	0	0.019410133361816406
19	5	1.0	0	0.02510213851928711
20	28	1.0	0	0.14824604988098145
21	3	1.0	1	0.016560077667236328
22	3	1.0	0	0.015230894088745117
23	2	1.0	0	0.010374069213867188
24	500	0.0	498	3.0614099502563477
25	4	1.0	2	0.04253697395324707
26	4	1.0	0	0.02325606346130371
27	4	1.0	0	0.0245969295501709
28	18	1.0	0	0.10960102081298828
29	500	0.0	497	3.06371808052063
30	4	1.0	0	0.03059673309326172
31	3	1.0	0	0.01574397087097168
32	6	1.0	0	0.048330068588256836
33	3	1.0	0	0.017081737518310547
34	9	1.0	0	0.043260812759399414
35	5	1.0	0	0.026955127716064453
36	56	1.0	0	0.2785930633544922
37	5	1.0	0	0.024359941482543945
38	183	1.0	0	0.8764452934265137
39	5	1.0	0	0.02474808692932129
40	8	1.0	0	0.047089338302612305
41	2	1.0	0	0.014301061630249023
42	3	1.0	0	0.016057252883911133
43	4	1.0	0	0.020104169845581055
44	234	1.0	0	1.1377930641174316
45	3	1.0	0	0.014860153198242188
46	5	1.0	1	0.025556087493896484
47	3	1.0	0	0.014946937561035156
48	10	1.0	0	0.06543993949890137
49	11	1.0	3	0.05652213096618652
50	8	1.0	1	0.0394129753112793
51	6	1.0	0	0.04376220703125
52	5	1.0	0	0.02714705467224121
53	5	1.0	0	0.024506807327270508
54	3	1.0	0	0.015927791595458984
55	48	1.0	0	0.24124526977539062
56	500	0.0	497	3.053199052810669
57	6	1.0	0	0.04612302780151367
58	5	1.0	0	0.025542020797729492
59	5	1.0	0	0.0394899845123291
60	4	1.0	1	0.02233290672302246
61	3	1.0	0	0.015458106994628906
62	4	1.0	0	0.019891023635864258
63	4	1.0	0	0.02506709098815918
64	4	1.0	1	0.021636962890625
65	11	1.0	0	0.05387425422668457
66	6	1.0	0	0.03800702095031738
67	4	1.0	1	0.022246122360229492
68	5	1.0	0	0.024565935134887695
69	5	1.0	0	0.02489328384399414
70	7	1.0	0	0.040978193283081055
71	4	1.0	0	0.02042078971862793
72	3	1.0	0	0.0160219669342041
73	7	1.0	0	0.036187171936035156
74	4	1.0	0	0.020277023315429688
75	3	1.0	0	0.015332937240600586
76	3	1.0	0	0.01705193519592285
77	18	1.0	1	0.08800697326660156
78	3	1.0	0	0.01569199562072754
79	7	1.0	4	0.04047393798828125
80	4	1.0	0	0.019788026809692383
81	4	1.0	0	0.021848201751708984
82	4	1.0	0	0.029214859008789062
83	5	1.0	0	0.025049924850463867
84	7	1.0	0	0.04015803337097168
85	3	1.0	0	0.01506495475769043
86	2	1.0	0	0.012691020965576172
87	4	1.0	0	0.020006895065307617
88	6	1.0	0	0.032860755920410156
89	2	1.0	0	0.010726213455200195
90	5	1.0	0	0.024721145629882812
91	3	1.0	0	0.015326976776123047
92	2	1.0	0	0.012840032577514648
93	4	1.0	0	0.026350021362304688
94	5	1.0	0	0.02499675750732422
95	11	1.0	0	0.055457115173339844
96	4	1.0	0	0.020743846893310547
97	4	1.0	0	0.020701169967651367
98	4	1.0	0	0.01972675323486328
99	21	1.0	0	0.1176450252532959
