Epoch	MAEnvIterations	TotalEnvInteracts	EpLen	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageCaptureRate	StdCaptureRate	MaxCaptureRate	MinCaptureRate	AverageCollisions	StdCollisions	MaxCollisions	MinCollisions	AverageCollideObstacles	StdCollideObstacles	MaxCollideObstacles	MinCollideObstacles	AverageVVals	StdVVals	MaxVVals	MinVVals	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time	Processes	Agents
0	500	4000	500.0	-15.908334	11.072128	1.3	-33.7	0.29333332	0.08219218	0.42	0.18	3.1666667	3.4840908	10.0	0.0	7.0	0.8164966	8.0	6.0	0.004669865	0.016862424	0.0414296	-0.034171544	-0.00056655955	35.220135	0.0	-18.495312	1.6085483	7.202228e-10	10.095962285995483	6	8
1	1000	8000	500.0	-126.82501	239.70862	-2.2	-662.2	0.32666668	0.07363574	0.44	0.22	41.0	79.24645	218.0	0.0	6.1666665	0.6871842	7.0	5.0	-2.4947877	3.1676123	12.324714	-16.180336	-0.0005510251	15120.565	0.0	-8180.063	1.6078633	-2.9057265e-09	20.152058839797974	6	8
2	1500	12000	500.0	-16.325	9.104429	-6.2	-31.45	0.29	0.030000003	0.34	0.24	3.1666667	3.1841621	8.0	0.0	6.8333335	0.89752746	8.0	6.0	-24.618755	41.532833	14.019529	-256.4256	5.690505e-05	1514.9141	0.0	-1303.7928	1.6067027	5.3296483e-09	30.36340880393982	6	8
3	2000	16000	500.0	-21.158335	8.045983	-12.45	-35.2	0.27666667	0.10290232	0.44	0.16	4.5	2.986079	8.0	0.0	6.1666665	0.6871842	7.0	5.0	-7.880412	8.576082	4.548289	-124.08052	0.00057441246	106.09365	0.0	-64.97372	1.6060051	-2.4586917e-09	40.27819347381592	6	8
4	2500	20000	500.0	-90.86667	186.00749	0.05	-506.7	0.31333333	0.09637888	0.48	0.22	28.666666	61.89148	167.0	0.0	6.8333335	0.89752746	8.0	5.0	-4.611957	3.5375147	12.711694	-71.355286	0.00065431494	10216.886	0.0	-4316.39	1.6050917	9.040037e-09	50.16541361808777	6	8
5	3000	24000	500.0	-54.574997	88.37913	-0.45	-250.7	0.35	0.06298148	0.44	0.28	17.333334	30.384571	85.0	1.0	6.8333335	0.6871842	8.0	6.0	-26.635864	45.592335	46.907593	-299.98798	-0.0002833406	4104.926	0.0	-2210.1023	1.6053138	2.9553968e-09	60.1820969581604	6	8
6	3500	28000	500.0	-15.116668	2.808717	-11.2	-18.95	0.25333333	0.099777535	0.46	0.14	2.0	1.6329932	5.0	0.0	6.5	0.95742714	8.0	5.0	-26.04259	47.574093	101.67601	-430.23233	-0.0004605154	1568.1514	0.0	-1433.9489	1.604632	-3.0795735e-10	70.12468457221985	6	8
7	4000	32000	500.0	-261.32498	560.1385	-1.2	-1513.7	0.25	0.12793228	0.4	0.04	84.166664	186.41478	501.0	0.0	6.3333335	1.3743685	8.0	4.0	-7.5076056	10.180444	61.36965	-157.4057	0.00048722327	42310.17	0.0	-38487.914	1.6044707	-2.2351725e-10	80.30031514167786	6	8
8	4500	36000	500.0	-222.61665	472.6318	-8.7	-1279.45	0.29333335	0.018856185	0.32	0.26	72.166664	157.79356	425.0	0.0	7.3333335	0.942809	8.0	6.0	-24.284489	64.57166	143.65894	-350.00128	-0.0011205673	37089.496	0.0	-32134.842	1.6040907	-1.4548501e-08	90.26948881149292	6	8
9	5000	40000	500.0	-22.491669	10.104059	-11.2	-39.2	0.30333334	0.10609221	0.46	0.16	5.5	3.5939765	11.0	0.0	6.6666665	1.4907119	8.0	4.0	-32.792652	113.45679	399.0897	-810.92816	-0.00041070706	10652.834	0.0	-10084.3545	1.6043243	-3.8295984e-09	100.41309380531311	6	8
