	episodes_total	training_iteration	episode_reward_mean	episode_len_mean	time_total_s	custom_metrics/capture_rate_mean	custom_metrics/collisions_mean	custom_metrics/collisions_with_obstacles_mean
0	6	1	-33656.66666666639	4000.0	22.922911643981934	0.0866666666666666	5623.333333333333	8.0
1	15	2	-20867.466666666696	4000.0	55.87594246864319	0.0666666666666666	3481.0666666666666	6.466666666666667
2	24	3	-14985.66666666662	4000.0	88.60941815376282	0.0566666666666666	2800.125	6.0
3	33	4	-12126.848484848457	4000.0	121.3892662525177	0.0503030303030303	2345.7272727272725	5.212121212121212
4	43	5	-9716.186046511615	4000.0	154.07441091537476	0.0548837209302325	1923.93023255814	5.372093023255814
5	54	6	-9272.777777777776	4000.0	186.93141746521	0.0588888888888889	1899.111111111111	5.203703703703703
6	63	7	-8485.492063492058	4000.0	219.5089180469513	0.0644444444444444	1798.984126984127	5.396825396825397
7	72	8	-8120.8055555555375	4000.0	251.9004671573639	0.0697222222222222	1799.9027777777778	5.569444444444445
8	81	9	-7348.02469135801	4000.0	284.47662830352783	0.071358024691358	1637.2469135802469	5.604938271604938
9	90	10	-7059.95555555554	4000.0	317.18205285072327	0.0768888888888888	1559.7444444444443	5.522222222222222
10	99	11	-9483.010101010112	4000.0	349.7483468055725	0.0822222222222222	1666.3434343434344	5.747474747474747
11	109	12	-6585.120000000004	4000.0	382.4978139400482	0.0904	1229.09	5.51
12	120	13	-6217.040000000011	4000.0	415.02127480506897	0.0936	1106.72	5.74
13	129	14	-6093.740000000025	4000.0	447.65814113616943	0.1002	1094.4	5.69
14	138	15	-6436.700000000001	4000.0	480.0895674228668	0.1002	1185.87	5.97
15	147	16	-7435.860000000032	4000.0	512.6872622966766	0.1054	1392.95	6.22
16	156	17	-7172.480000000037	4000.0	545.4894776344299	0.1056	1369.53	6.46
17	166	18	-7438.060000000023	4000.0	578.2568874359131	0.1034	1434.81	6.55
18	175	19	-8916.479999999974	4000.0	611.2239575386047	0.1048	1664.1	6.65
19	185	20	-9373.639999999974	4000.0	644.2725646495819	0.1043999999999999	1846.25	6.7
20	194	21	-9879.079999999964	4000.0	676.868727684021	0.1043999999999999	2283.0	6.88
21	203	22	-10618.259999999877	4000.0	709.517067193985	0.0982	2566.98	7.02
22	213	23	-12463.339999999767	4000.0	742.2567665576935	0.0975999999999999	3168.41	7.21
23	222	24	-12381.039999999772	4000.0	774.7248251438141	0.1013999999999999	3141.68	7.37
24	232	25	-13226.6599999998	4000.0	807.1580936908722	0.1033999999999999	3354.71	7.59
25	241	26	-13080.619999999732	4000.0	839.6081745624542	0.1022	3408.09	7.54
26	251	27	-14174.519999999797	4000.0	872.1124875545502	0.1056	3377.44	7.58
27	261	28	-17141.639999999785	4000.0	904.761439561844	0.1077999999999999	3527.33	7.49
28	270	29	-17761.7999999997	4000.0	937.1780722141266	0.1125999999999999	3818.2	7.52
29	279	30	-18657.959999999806	4000.0	969.6404004096984	0.1149999999999999	3917.09	7.61
30	288	31	-18264.75999999981	4000.0	1002.0334658622742	0.1141999999999999	3883.33	7.73
31	297	32	-16764.399999999805	4000.0	1034.3791451454165	0.113	3587.98	7.72
32	306	33	-19394.439999999995	4000.0	1066.8677875995636	0.1189999999999999	3449.93	7.68
33	316	34	-20082.180000000026	4000.0	1099.482365846634	0.1164	3555.13	7.68
34	327	35	-20272.579999999976	4000.0	1132.0767481327057	0.1174	3615.05	7.53
35	336	36	-19463.159999999963	4000.0	1164.6233389377594	0.1172	3387.0	7.43
36	345	37	-19184.119999999926	4000.0	1197.313986301422	0.1204	3590.95	7.43
