	episodes_total	training_iteration	episode_reward_mean	episode_len_mean	time_total_s	custom_metrics/capture_rate_mean	custom_metrics/collisions_mean	custom_metrics/collisions_with_obstacles_mean
0	6	1	-1010.3333333333372	4000.0	22.259757041931152	0.0433333333333333	277.3333333333333	1.3333333333333333
1	15	2	-11420.133333333111	4000.0	54.44050145149231	0.0813333333333333	2226.866666666667	5.333333333333333
2	24	3	-7988.916666666523	4000.0	86.78403949737549	0.0841666666666666	1656.7083333333333	6.333333333333333
3	33	4	-7813.272727272567	4000.0	119.37451934814452	0.0854545454545454	1858.030303030303	6.787878787878788
4	43	5	-10025.581395348518	4000.0	151.77740812301636	0.0902325581395348	2338.3023255813955	6.976744186046512
5	52	6	-8988.846153845887	4000.0	184.33844637870789	0.0853846153846153	2156.8076923076924	6.423076923076923
6	63	7	-10451.428571428429	4000.0	216.8181085586548	0.0838095238095237	2120.428571428572	6.492063492063492
7	72	8	-10445.472222222052	4000.0	249.38032698631287	0.0830555555555555	2139.902777777778	6.527777777777778
8	81	9	-9368.913580246766	4000.0	281.8491072654724	0.0846913580246913	1924.641975308642	6.160493827160494
9	90	10	-8481.466666666529	4000.0	314.2523832321167	0.0893333333333333	1744.1777777777777	6.022222222222222
10	99	11	-7799.878787878671	4000.0	346.75180649757385	0.0884848484848484	1610.585858585859	6.181818181818182
11	110	12	-7154.279999999907	4000.0	378.91445565223694	0.0939999999999999	1446.21	6.47
12	120	13	-6269.319999999911	4000.0	411.0890259742737	0.0955999999999999	1335.69	6.3
13	129	14	-10117.359999999917	4000.0	443.1912226676941	0.0968	1507.51	6.3
14	138	15	-9373.35999999996	4000.0	475.52750754356384	0.0944	1259.25	6.29
15	147	16	-9757.960000000074	4000.0	507.7123463153839	0.0979999999999999	1262.91	6.43
16	156	17	-11552.88000000017	4000.0	539.9963335990906	0.1024	1466.47	6.66
17	166	18	-10534.000000000093	4000.0	572.4520108699799	0.1062	1476.86	6.53
18	175	19	-10930.500000000082	4000.0	604.5988903045654	0.1124	1626.17	6.67
19	186	20	-11786.940000000077	4000.0	636.8344433307648	0.111	1781.66	7.01
20	195	21	-17136.800000000167	4000.0	669.3670988082886	0.1099999999999999	2138.33	7.07
21	204	22	-17286.060000000154	4000.0	701.8878648281097	0.1062	2187.52	7.04
22	213	23	-17457.20000000016	4000.0	734.388149023056	0.1052	2244.33	7.17
23	223	24	-15272.020000000251	4000.0	766.7174551486969	0.1017999999999999	2126.47	7.09
24	232	25	-13055.600000000186	4000.0	799.0824105739594	0.105	1892.31	6.96
25	241	26	-12130.900000000112	4000.0	831.4306106567383	0.1016	1829.42	6.95
26	251	27	-10088.780000000035	4000.0	863.6325535774231	0.0972	1572.69	7.02
27	261	28	-10738.200000000104	4000.0	896.0765254497528	0.0982	1648.47	7.15
28	270	29	-9667.48000000014	4000.0	928.3350033760072	0.0973999999999999	1374.12	6.87
29	280	30	-9103.880000000165	4000.0	960.6312415599824	0.0965999999999999	1255.1	6.95
30	289	31	-6161.200000000223	4000.0	992.9747676849364	0.0964	1057.5	6.87
31	298	32	-5366.300000000008	4000.0	1025.2624258995056	0.0974	972.02	6.81
32	308	33	-5287.200000000011	4000.0	1057.7778644561768	0.0972	945.44	6.77
33	317	34	-7476.900000000058	4000.0	1090.086063861847	0.0996	1373.07	6.77
34	327	35	-7317.180000000052	4000.0	1122.3816187381744	0.0986	1320.07	7.01
35	336	36	-7318.360000000055	4000.0	1155.0784747600555	0.0972	1320.16	6.99
36	346	37	-7784.260000000077	4000.0	1187.846881151199	0.0966	1399.95	6.97
37	356	38	-7718.620000000024	4000.0	1219.939451932907	0.0978	1399.68	6.96
38	365	39	-6814.539999999975	4000.0	1252.402864694595	0.0955999999999999	1211.51	7.16
39	375	40	-6433.499999999991	4000.0	1284.7305397987366	0.094	1084.23	7.38
40	384	41	-7664.640000000043	4000.0	1316.9074804782867	0.0921999999999999	1161.04	7.44
41	393	42	-7218.540000000064	4000.0	1349.0981895923617	0.0939999999999999	1080.92	7.44
42	403	43	-6080.820000000142	4000.0	1381.3465917110443	0.0951999999999999	1063.84	7.26
43	412	44	-7041.86000000007	4000.0	1413.6061115264893	0.096	956.52	7.36
44	422	45	-5787.740000000057	4000.0	1445.895980834961	0.0929999999999999	684.64	7.36
45	431	46	-5855.700000000048	4000.0	1478.1330409049988	0.0934	707.13	7.32
46	441	47	-6341.440000000042	4000.0	1510.8512661457062	0.0944	858.17	6.99
47	450	48	-7164.439999999951	4000.0	1543.057695865631	0.0945999999999999	1200.41	6.78
48	459	49	-10832.71999999995	4000.0	1575.4487681388855	0.0956	1558.36	6.52
