	episodes_total	training_iteration	episode_reward_mean	episode_len_mean	time_total_s	custom_metrics/capture_rate_mean	custom_metrics/collisions_mean	custom_metrics/collisions_with_obstacles_mean
0	6	1	-3601.6666666666843	4000.0	22.90187644958496	0.0366666666666666	1000.1666666666666	2.5
1	15	2	-14362.666666667235	4000.0	54.83831572532654	0.0746666666666666	1664.6666666666667	5.8
2	24	3	-9050.833333333694	4000.0	87.7512059211731	0.0483333333333333	1041.0	3.6666666666666665
3	33	4	-7224.969696969972	4000.0	120.21503138542175	0.046060606060606	884.3939393939394	3.4242424242424243
4	44	5	-10397.636363636491	4000.0	152.01714777946472	0.0581818181818181	1577.5	4.477272727272728
5	53	6	-8864.528301886916	4000.0	183.98038744926453	0.0596226415094339	1377.9622641509434	4.377358490566038
6	62	7	-7952.258064516236	4000.0	215.9077446460724	0.064516129032258	1295.0967741935483	4.629032258064516
7	72	8	-7010.777777777879	4000.0	248.09635066986084	0.0675	1162.3333333333333	4.444444444444445
8	81	9	-7529.086419753197	4000.0	279.7990562915802	0.0698765432098765	1299.0617283950617	4.802469135802469
9	90	10	-7515.511111111191	4000.0	311.53136587142944	0.0748888888888888	1391.8444444444444	4.822222222222222
10	100	11	-7893.480000000153	4000.0	343.0399343967438	0.0794	1423.68	5.04
11	110	12	-10049.000000000186	4000.0	375.0865390300751	0.0826	1742.26	5.29
12	119	13	-9047.56000000012	4000.0	407.2786033153534	0.081	1729.43	5.13
13	128	14	-11151.46000000021	4000.0	439.4864480495453	0.0875999999999999	1924.51	5.46
14	137	15	-10380.740000000238	4000.0	471.79463601112366	0.0843999999999999	1763.67	5.04
15	146	16	-9117.72000000023	4000.0	503.8721969127655	0.089	1590.78	4.68
16	155	17	-10063.820000000223	4000.0	536.0373258590698	0.0904	1674.23	4.54
17	166	18	-10923.420000000206	4000.0	567.9634301662445	0.0922	1805.36	4.66
18	175	19	-12427.920000000217	4000.0	599.8551292419434	0.0975999999999999	1960.59	4.67
19	184	20	-13931.340000000302	4000.0	631.671902179718	0.097	2103.7	4.63
20	194	21	-14141.54000000031	4000.0	663.6881632804871	0.099	2043.24	4.5
21	203	22	-12651.48000000025	4000.0	695.6738450527191	0.1012	1859.99	4.08
22	212	23	-12014.880000000172	4000.0	727.3870365619659	0.1048	1811.86	4.0
23	222	24	-11847.580000000084	4000.0	759.235898733139	0.1082	1958.16	4.27
24	232	25	-11121.98000000004	4000.0	791.3224899768829	0.1098	1911.5	4.51
25	241	26	-13001.340000000102	4000.0	823.2695729732513	0.1136	1902.23	4.81
26	250	27	-12672.540000000112	4000.0	855.341048002243	0.1112	1842.56	4.96
27	259	28	-12235.04000000007	4000.0	887.4716396331787	0.1126	1966.79	4.93
28	268	29	-11733.340000000097	4000.0	919.5520765781404	0.108	1873.19	4.57
29	278	30	-9457.900000000018	4000.0	951.8517360687256	0.1056	1657.91	4.44
30	289	31	-7569.0799999999235	4000.0	984.044944524765	0.1042	1456.45	4.24
31	298	32	-7907.5799999999	4000.0	1016.1046588420868	0.104	1632.27	4.32
32	307	33	-8470.479999999887	4000.0	1048.4821410179138	0.1014	1746.56	4.19
33	316	34	-7104.999999999963	4000.0	1080.4910097122192	0.1025999999999999	1516.62	4.07
34	325	35	-7999.619999999936	4000.0	1112.170398235321	0.1051999999999999	1642.08	4.16
35	334	36	-7672.73999999993	4000.0	1144.0949959754944	0.1098	1767.39	4.28
36	343	37	-8489.879999999883	4000.0	1175.9850461483002	0.1082	2122.59	4.46
37	354	38	-9926.739999999943	4000.0	1208.1434018611908	0.1116	2170.66	4.75
38	363	39	-10438.159999999956	4000.0	1239.907084941864	0.1174	2099.95	4.95
39	373	40	-11587.219999999968	4000.0	1272.2261424064636	0.118	2171.92	5.3
40	382	41	-12495.31999999999	4000.0	1304.3204975128174	0.1184	2284.42	5.69
41	391	42	-14025.54000000006	4000.0	1336.283926486969	0.1192	2535.3	6.06
42	401	43	-13477.440000000091	4000.0	1368.6330325603485	0.1186	2421.9	6.35
43	411	44	-16120.58000000024	4000.0	1400.617002248764	0.12	2464.59	6.68
44	420	45	-17398.26000000028	4000.0	1432.618310213089	0.1192	2527.44	6.94
45	429	46	-16732.840000000277	4000.0	1464.5960111618042	0.119	2400.74	6.94
46	438	47	-16876.300000000287	4000.0	1496.4938023090365	0.115	2418.48	7.05
47	447	48	-15925.740000000287	4000.0	1528.7570629119873	0.1158	2236.05	6.77
48	457	49	-16967.780000000366	4000.0	1560.7921249866486	0.113	2270.87	6.78
49	467	50	-15946.14000000038	4000.0	1592.7264795303345	0.1085999999999999	2231.43	6.96
50	477	51	-18380.70000000058	4000.0	1624.681949853897	0.1088	2327.75	7.1
51	486	52	-18450.880000000565	4000.0	1656.5425984859469	0.1109999999999999	2210.72	7.09
52	495	53	-18544.900000000547	4000.0	1688.2940521240234	0.1118	2083.78	7.19
53	504	54	-18749.26000000058	4000.0	1720.4978077411652	0.1106	2080.63	7.24
54	514	55	-16689.180000000437	4000.0	1752.4209406375885	0.1064	2057.42	7.18
55	523	56	-16133.840000000477	4000.0	1784.59530043602	0.1054	1946.86	7.16
56	532	57	-15928.920000000491	4000.0	1816.395192861557	0.1058	1874.53	6.94
57	542	58	-16775.94000000054	4000.0	1848.1239132881165	0.1052	1977.31	7.07
58	551	59	-16125.060000000509	4000.0	1880.212818622589	0.1076	1913.04	7.26
59	560	60	-15347.360000000475	4000.0	1912.4744262695312	0.1078	1801.28	7.3
60	571	61	-14246.400000000309	4000.0	1944.6284110546112	0.1118	1940.82	7.3
61	580	62	-12430.460000000256	4000.0	1976.7086567878723	0.1072	1850.64	7.31
62	589	63	-12794.44000000017	4000.0	2008.534609079361	0.1074	1829.74	7.18
63	598	64	-11731.060000000172	4000.0	2040.4559803009035	0.1066	1659.66	7.11
