	episodes_total	training_iteration	episode_reward_mean	episode_len_mean	time_total_s	custom_metrics/capture_rate_mean	custom_metrics/collisions_mean	custom_metrics/collisions_with_obstacles_mean
0	6	1	-193.33333333334332	4000.0	21.13963341712952	0.0133333333333333	0.0	0.0
1	15	2	-9315.199999999606	4000.0	52.54961156845093	0.064	1723.2	3.2
2	24	3	-6671.083333333093	4000.0	84.68056225776672	0.0558333333333333	1337.0833333333333	3.125
3	33	4	-5440.181818181629	4000.0	116.4297697544098	0.0563636363636363	1153.030303030303	2.9696969696969697
4	44	5	-5336.99999999981	4000.0	147.8257212638855	0.0645454545454545	1271.090909090909	3.386363636363636
5	53	6	-6277.471698113113	4000.0	179.2171311378479	0.070566037735849	1274.4150943396226	3.69811320754717
6	62	7	-5750.193548387001	4000.0	210.890153169632	0.0696774193548387	1139.8709677419354	3.693548387096774
7	72	8	-5008.277777777696	4000.0	242.19589948654172	0.0727777777777777	993.3333333333334	3.8194444444444446
8	81	9	-4772.888888888814	4000.0	273.8026406764984	0.0725925925925926	961.2962962962964	3.8271604938271606
9	90	10	-4817.933333333237	4000.0	305.1859538555145	0.0713333333333333	991.0444444444444	3.7666666666666666
10	101	11	-4716.959999999899	4000.0	336.6433913707733	0.0712	984.65	3.91
11	110	12	-4318.87999999991	4000.0	368.0988810062408	0.072	924.39	4.37
12	119	13	-3787.5599999999376	4000.0	399.7112400531769	0.0747999999999999	859.84	4.28
13	128	14	-3501.139999999944	4000.0	431.37173295021057	0.075	764.45	4.19
14	138	15	-3291.939999999945	4000.0	463.1577785015106	0.0731999999999999	694.24	3.89
15	148	16	-3012.979999999971	4000.0	494.158421754837	0.0724	601.12	3.81
16	157	17	-2105.95999999996	4000.0	525.9055037498474	0.073	547.59	3.67
17	167	18	-2446.45999999997	4000.0	557.7702581882477	0.0736	616.48	3.51
18	176	19	-2620.7199999999657	4000.0	589.0756566524506	0.0726	674.33	3.25
19	185	20	-2281.319999999971	4000.0	620.6214487552643	0.0746	579.91	3.2
20	196	21	-1721.0600000000122	4000.0	651.714474439621	0.0796	460.8	3.3
21	205	22	-1771.4400000000137	4000.0	683.1423370838165	0.0806	437.12	2.91
22	214	23	-2235.6200000000304	4000.0	714.640956401825	0.0796	458.72	2.85
23	223	24	-2345.7400000000384	4000.0	746.0692706108093	0.0792	478.08	2.76
24	232	25	-2522.120000000051	4000.0	777.2799258232117	0.0874	532.64	2.91
25	243	26	-2637.640000000035	4000.0	808.8782935142517	0.0883999999999999	571.42	3.39
26	252	27	-2591.100000000026	4000.0	839.9435133934021	0.0898	556.0	3.44
27	261	28	-2988.079999999996	4000.0	871.056962966919	0.0934	708.5	3.64
28	271	29	-3658.380000000013	4000.0	902.330997467041	0.0963999999999999	796.07	3.9
29	280	30	-4199.599999999993	4000.0	933.5194115638732	0.0978	976.64	4.39
30	289	31	-4295.419999999995	4000.0	964.9233229160308	0.0996	1008.81	4.68
31	300	32	-4383.75999999999	4000.0	996.0004148483276	0.1009999999999999	1038.56	5.09
32	309	33	-4443.979999999991	4000.0	1027.163782596588	0.102	1170.04	5.6
33	319	34	-5370.700000000004	4000.0	1058.477241754532	0.1028	1317.38	6.0
34	328	35	-5895.57999999998	4000.0	1089.8468358516693	0.1004	1339.22	6.41
35	337	36	-6083.73999999998	4000.0	1121.1508433818815	0.1003999999999999	1402.1	6.33
36	348	37	-7901.599999999965	4000.0	1152.160579442978	0.1026	1653.14	6.63
37	357	38	-9634.33999999998	4000.0	1183.3751680850985	0.1008	1656.96	6.86
38	367	39	-9985.30000000002	4000.0	1214.5767714977264	0.0998	1573.61	7.22
39	376	40	-9529.360000000042	4000.0	1245.9117794036863	0.0968	1424.4	7.3
40	385	41	-13682.860000000186	4000.0	1277.5920543670654	0.096	1806.4	7.38
41	396	42	-14397.880000000196	4000.0	1308.929561138153	0.0954	1926.2	7.23
42	405	43	-14183.460000000174	4000.0	1340.0927832126615	0.0956	1930.17	7.05
43	415	44	-14411.420000000197	4000.0	1371.281317472458	0.0949999999999999	1878.62	7.03
44	424	45	-14483.840000000231	4000.0	1402.3456649780271	0.1004	1896.81	6.83
45	433	46	-17415.760000000337	4000.0	1433.444266319275	0.1035999999999999	2119.43	7.04
46	442	47	-22254.14000000054	4000.0	1464.2360565662384	0.1022	2378.03	7.12
47	452	48	-25368.500000000426	4000.0	1495.24622797966	0.1031999999999999	2229.26	7.08
48	462	49	-23411.82000000038	4000.0	1526.7403147220612	0.1036	2229.44	6.89
49	472	50	-23871.52000000034	4000.0	1557.9429562091827	0.1082	2360.42	6.85
50	481	51	-21300.70000000028	4000.0	1588.9286363124847	0.1125999999999999	2042.62	6.91
51	490	52	-22591.30000000014	4000.0	1620.269725561142	0.1138	2096.83	6.88
52	499	53	-23250.700000000124	4000.0	1651.4765141010284	0.115	2241.7	7.08
53	508	54	-24486.10000000019	4000.0	1682.6703379154203	0.1162	2287.58	7.17
54	520	55	-24268.320000000185	4000.0	1714.0176496505735	0.1164	2227.29	7.36
55	529	56	-21685.340000000087	4000.0	1745.4497728347778	0.1118	2019.8	7.45
56	538	57	-17859.89999999984	4000.0	1776.9793813228607	0.1086	1870.9	7.5
57	547	58	-12344.619999999826	4000.0	1808.0220296382904	0.1077999999999999	1676.86	7.56
58	556	59	-10785.939999999868	4000.0	1839.001305103302	0.1092	1710.88	7.59
59	565	60	-12441.539999999854	4000.0	1869.7980380058289	0.1091999999999999	2064.32	7.67
60	576	61	-11702.539999999784	4000.0	1900.733404636383	0.1064	2133.75	7.71
61	586	62	-8907.939999999837	4000.0	1931.818835258484	0.1036	1974.53	7.81
62	595	63	-12041.619999999975	4000.0	1962.9037730693815	0.1034	2238.23	7.74
63	604	64	-9927.199999999932	4000.0	1993.920333147049	0.1044	1948.36	7.72
64	613	65	-10880.279999999952	4000.0	2025.2881133556368	0.1026	2054.89	7.74
65	624	66	-10820.63999999996	4000.0	2056.2509167194366	0.1062	2039.59	7.58
66	633	67	-11777.599999999966	4000.0	2087.199944257736	0.107	2062.71	7.58
67	642	68	-16336.599999999911	4000.0	2118.0994901657104	0.1066	2148.87	7.58
68	651	69	-19327.1599999999	4000.0	2149.0398507118225	0.1058	2232.41	7.61
69	661	70	-22374.11999999993	4000.0	2180.178126811981	0.103	2289.09	7.67
70	671	71	-25363.779999999795	4000.0	2211.3793818950653	0.1042	2205.42	7.65
71	681	72	-26101.519999999808	4000.0	2242.749336242676	0.1052	2300.41	7.65
72	690	73	-25137.77999999977	4000.0	2274.290533542633	0.1052	2211.19	7.61
73	699	74	-23930.739999999707	4000.0	2305.531540632248	0.102	2211.34	7.57
74	708	75	-23912.65999999964	4000.0	2336.9345049858093	0.1011999999999999	2346.89	7.49
75	718	76	-23915.79999999973	4000.0	2368.7169749736786	0.0978	2322.1	7.53
76	728	77	-25495.37999999988	4000.0	2399.943088293076	0.0956	2372.03	7.64
77	737	78	-25224.599999999933	4000.0	2431.5111968517303	0.0986	2462.41	7.55
78	747	79	-19572.580000000034	4000.0	2462.7643373012543	0.1044	2457.78	7.49
79	756	80	-16902.040000000048	4000.0	2493.915083169937	0.1074	2473.92	7.39
80	766	81	-16127.220000000065	4000.0	2525.1283729076385	0.1076	2320.51	6.91
81	775	82	-12407.200000000304	4000.0	2556.235625267029	0.1064	2057.17	6.88
82	784	83	-13385.360000000304	4000.0	2587.4206802845	0.1078	2058.1	6.8
83	793	84	-13836.060000000238	4000.0	2618.562720775604	0.1064	2196.44	6.83
84	802	85	-15589.460000000392	4000.0	2649.7687401771545	0.1108	2183.83	6.86
85	812	86	-15553.32000000037	4000.0	2681.3518781661987	0.113	2132.55	6.82
86	822	87	-14064.560000000169	4000.0	2712.473877429962	0.1125999999999999	2183.31	6.82
87	831	88	-14321.120000000214	4000.0	2743.4895691871643	0.115	2150.71	6.82
88	841	89	-16190.920000000331	4000.0	2774.7590358257294	0.1098	2250.8	6.91
89	850	90	-18116.1400000004	4000.0	2806.307996034622	0.1056	2404.31	6.89
