	episodes_total	training_iteration	episode_reward_mean	episode_len_mean	time_total_s	custom_metrics/capture_rate_mean	custom_metrics/collisions_mean	custom_metrics/collisions_with_obstacles_mean
0	6	1	-9537.666666666852	4000.0	23.201679944992065	0.0366666666666666	1866.8333333333333	4.833333333333333
1	15	2	-5739.866666666691	4000.0	55.87511968612671	0.0466666666666666	1353.6666666666667	6.4
2	24	3	-4752.666666666654	4000.0	88.63616847991943	0.0458333333333333	1211.7083333333333	5.166666666666667
3	33	4	-10194.303030303145	4000.0	121.14982318878174	0.0587878787878787	2128.939393939394	5.878787878787879
4	44	5	-11868.81818181827	4000.0	153.8592402935028	0.0640909090909091	2405.318181818182	6.2727272727272725
5	53	6	-11284.377358490654	4000.0	186.5050687789917	0.0630188679245283	2330.1132075471696	6.0
6	62	7	-11736.612903225803	4000.0	219.4202189445496	0.0632258064516129	2330.8548387096776	5.774193548387097
7	72	8	-10453.58333333332	4000.0	251.90965604782104	0.0672222222222222	2115.680555555556	5.944444444444445
8	81	9	-9770.567901234555	4000.0	284.3667960166931	0.0698765432098765	2033.8148148148148	5.777777777777778
9	90	10	-8999.044444444442	4000.0	317.022522687912	0.0715555555555555	1893.9555555555555	5.688888888888889
10	100	11	-8667.240000000009	4000.0	349.4963023662567	0.077	1847.16	5.75
11	110	12	-11757.440000000057	4000.0	382.0559465885162	0.0837999999999999	2114.24	5.86
12	119	13	-11950.260000000042	4000.0	414.5596749782562	0.0886	2172.55	5.63
13	128	14	-11369.140000000065	4000.0	447.3402507305145	0.0877999999999999	2030.94	5.23
14	137	15	-9301.420000000036	4000.0	480.3091313838959	0.0865999999999999	1613.21	4.6
15	147	16	-8244.059999999983	4000.0	513.1765551567078	0.0897999999999999	1518.56	4.19
16	156	17	-7109.499999999991	4000.0	546.2182750701904	0.0866	1285.12	3.9
17	166	18	-6400.080000000028	4000.0	578.7624199390411	0.0904	1190.73	3.79
18	175	19	-6820.780000000002	4000.0	611.3218812942505	0.0913999999999999	1303.82	3.77
19	185	20	-8064.700000000041	4000.0	643.6941885948181	0.0936	1341.61	4.04
20	194	21	-8679.960000000056	4000.0	676.0875067710876	0.096	1440.55	4.23
21	204	22	-9197.180000000058	4000.0	708.3782649040222	0.0974	1657.44	4.06
22	213	23	-7959.14	4000.0	741.0447676181793	0.0962	1566.98	3.78
23	223	24	-9933.160000000093	4000.0	773.5599586963654	0.0999999999999999	1693.12	4.08
24	232	25	-10439.680000000102	4000.0	806.3396346569061	0.0987999999999999	1795.21	4.3
25	241	26	-12301.640000000143	4000.0	838.470511674881	0.106	1957.01	4.66
26	251	27	-14319.420000000264	4000.0	871.037624835968	0.1104	2151.51	4.92
27	260	28	-15567.960000000294	4000.0	903.8714594841005	0.1146	2290.69	4.77
28	269	29	-15414.740000000324	4000.0	936.6602320671082	0.1099999999999999	2260.24	4.68
29	279	30	-13808.780000000286	4000.0	969.1713132858276	0.1088	2108.07	4.29
30	289	31	-14115.700000000308	4000.0	1001.8212780952454	0.1064	2147.31	3.9
31	298	32	-13212.820000000282	4000.0	1034.5133018493652	0.104	2059.43	3.74
32	308	33	-12562.360000000266	4000.0	1066.5853736400604	0.107	1990.12	3.84
33	317	34	-12271.580000000298	4000.0	1098.8676946163175	0.1067999999999999	1895.98	4.27
34	326	35	-10975.840000000191	4000.0	1131.2077469825745	0.108	1880.42	4.38
35	335	36	-12387.8600000003	4000.0	1163.700757980347	0.1074	1914.48	4.76
36	344	37	-10645.08000000019	4000.0	1196.4176478385923	0.1003999999999999	1825.67	4.96
37	354	38	-9660.84000000019	4000.0	1229.0350914001465	0.103	1624.53	4.98
38	364	39	-10063.960000000188	4000.0	1261.199879169464	0.1045999999999999	1704.34	5.57
39	374	40	-10223.680000000151	4000.0	1293.3437128067017	0.1105999999999999	1690.31	5.54
40	383	41	-10443.600000000117	4000.0	1325.9605929851532	0.1113999999999999	1761.85	5.52
41	392	42	-9927.86000000012	4000.0	1358.6201083660126	0.1104	1651.01	5.24
42	401	43	-10011.700000000126	4000.0	1391.0188965797424	0.1136	1654.69	5.29
43	410	44	-10517.420000000186	4000.0	1423.4850392341614	0.1092	1593.25	5.37
44	420	45	-10387.180000000197	4000.0	1455.829299211502	0.1054	1575.31	5.28
45	430	46	-8325.040000000134	4000.0	1488.6047339439392	0.1013999999999999	1394.92	5.23
46	439	47	-9106.96000000014	4000.0	1521.1725902557373	0.104	1513.48	5.25
47	448	48	-8789.120000000155	4000.0	1554.0635414123535	0.1007999999999999	1483.37	5.03
48	457	49	-9022.060000000152	4000.0	1586.7997498512268	0.0938	1464.7	4.76
49	467	50	-7968.400000000087	4000.0	1619.0413422584534	0.0991999999999999	1448.08	4.86
50	476	51	-7699.240000000124	4000.0	1651.3806858062744	0.098	1427.75	5.25
51	487	52	-7061.580000000121	4000.0	1684.0275945663452	0.0945999999999999	1289.37	5.48
52	496	53	-7090.620000000119	4000.0	1716.7733762264252	0.0945999999999999	1301.36	5.85
53	505	54	-6007.060000000069	4000.0	1749.6353771686554	0.0926	1226.39	5.58
54	514	55	-5029.1600000000735	4000.0	1782.909422636032	0.0876	976.37	5.09
55	523	56	-5338.660000000057	4000.0	1815.1618566513064	0.0902	1011.12	4.94
56	532	57	-5043.360000000053	4000.0	1847.5919563770292	0.0951999999999999	942.31	4.81
57	543	58	-4528.999999999947	4000.0	1880.0443451404567	0.0972	860.47	4.88
58	553	59	-4671.379999999948	4000.0	1912.534631729126	0.1061999999999999	862.42	4.89
59	562	60	-4514.4399999999405	4000.0	1944.7672128677368	0.1074	905.77	4.7
