	episodes_total	training_iteration	episode_reward_mean	episode_len_mean	time_total_s	custom_metrics/capture_rate_mean	custom_metrics/collisions_mean	custom_metrics/collisions_with_obstacles_mean
0	6	1	-5912.333333333089	4000.0	21.80819010734558	0.1033333333333333	1920.1666666666667	6.833333333333333
1	15	2	-5223.866666666511	4000.0	54.11833739280701	0.1026666666666667	1691.2666666666669	7.533333333333333
2	24	3	-5760.749999999808	4000.0	86.78273153305054	0.0825	1857.4166666666667	7.708333333333333
3	33	4	-5125.151515151369	4000.0	119.22897481918336	0.0769696969696969	1646.909090909091	7.03030303030303
4	43	5	-4117.860465116166	4000.0	151.8906831741333	0.0697674418604651	1312.3720930232555	6.093023255813954
5	53	6	-3796.188679245197	4000.0	184.64003348350525	0.0637735849056603	1204.6037735849056	5.584905660377358
6	62	7	-4909.322580645142	4000.0	217.0390281677246	0.0667741935483871	1196.145161290323	5.548387096774194
7	71	8	-4583.915492957728	4000.0	249.97824144363403	0.0661971830985915	1136.0	5.464788732394366
8	81	9	-4168.8395061728215	4000.0	282.38775539398193	0.0706172839506172	1039.8148148148148	5.691358024691358
9	91	10	-3760.7912087911936	4000.0	314.8591570854187	0.072087912087912	936.4505494505496	5.769230769230769
10	100	11	-3449.6199999999844	4000.0	347.56100058555603	0.071	856.08	5.91
11	109	12	-3044.5600000000054	4000.0	380.19146609306335	0.0679999999999999	720.63	5.66
12	119	13	-3104.179999999999	4000.0	412.875212430954	0.0725999999999999	594.89	5.24
13	128	14	-3590.340000000017	4000.0	445.0735893249512	0.0766	686.46	5.15
14	138	15	-3688.580000000028	4000.0	477.2605822086334	0.0798	700.03	5.12
15	147	16	-3976.1599999999976	4000.0	509.7762160301209	0.0864	786.64	5.01
16	156	17	-6180.87999999998	4000.0	542.2645397186279	0.0896	944.76	5.18
17	165	18	-5857.639999999914	4000.0	574.6383256912231	0.0924	989.11	5.01
18	174	19	-6767.759999999888	4000.0	607.3532762527466	0.0928	1149.66	4.77
19	185	20	-6644.079999999893	4000.0	640.30859541893	0.0848	1107.59	4.13
20	195	21	-7077.29999999988	4000.0	672.4595625400543	0.0862	1183.45	3.74
21	204	22	-7851.519999999907	4000.0	704.805698633194	0.0895999999999999	1347.76	3.82
22	213	23	-10206.199999999906	4000.0	737.2748806476593	0.0875999999999999	1833.8	3.93
23	222	24	-10582.399999999909	4000.0	769.669506072998	0.0863999999999999	2096.95	3.99
24	231	25	-10303.839999999918	4000.0	802.2891340255737	0.0848	2007.68	3.87
25	241	26	-9987.75999999994	4000.0	835.1580665111542	0.0824	1926.29	3.79
26	252	27	-7317.899999999974	4000.0	868.0301268100739	0.0802	1697.28	3.94
27	261	28	-7495.899999999978	4000.0	900.4443852901459	0.0794	1658.99	4.03
28	270	29	-7222.919999999985	4000.0	933.0625839233398	0.0771999999999999	1639.98	4.19
29	279	30	-6750.360000000015	4000.0	965.6587352752686	0.079	1553.19	4.15
30	289	31	-6984.88	4000.0	998.269313812256	0.0842	1632.73	4.46
31	298	32	-6241.160000000003	4000.0	1030.8209166526794	0.0822	1543.37	4.69
32	307	33	-4732.699999999971	4000.0	1063.961651802063	0.0755999999999999	1270.38	4.28
33	316	34	-2869.099999999994	4000.0	1096.339363336563	0.0755999999999999	799.96	4.41
34	327	35	-2060.4599999999955	4000.0	1129.0421259403229	0.0723999999999999	534.29	4.48
35	337	36	-2349.680000000003	4000.0	1161.7811357975006	0.0714	630.55	4.79
36	346	37	-2928.5599999999663	4000.0	1194.42698431015	0.0713999999999999	823.23	4.97
37	355	38	-2452.69999999998	4000.0	1226.9655463695526	0.0707999999999999	725.91	4.95
38	364	39	-2238.999999999992	4000.0	1259.5953466892242	0.0733999999999999	691.68	4.74
39	374	40	-2401.77999999997	4000.0	1291.9787046909332	0.075	746.47	5.21
40	383	41	-2343.979999999968	4000.0	1324.3410248756409	0.0782	727.6	5.66
41	392	42	-3592.8000000000093	4000.0	1356.7139821052551	0.078	881.79	5.84
42	402	43	-8749.259999999895	4000.0	1389.1304161548617	0.0819999999999999	1184.35	6.03
43	413	44	-9180.85999999986	4000.0	1421.8071656227112	0.0852	1315.2	6.23
44	422	45	-9229.079999999858	4000.0	1454.4569327831268	0.0886	1331.84	6.01
45	431	46	-9247.999999999844	4000.0	1486.9267256259918	0.0929999999999999	1338.88	6.24
46	440	47	-9238.939999999831	4000.0	1519.445600748062	0.0965999999999999	1334.02	6.1
47	449	48	-9336.77999999984	4000.0	1551.802977561951	0.0978	1294.38	6.23
48	459	49	-9452.659999999843	4000.0	1584.2914526462555	0.0998	1333.22	6.18
49	469	50	-9313.799999999846	4000.0	1616.937674999237	0.1021999999999999	1285.04	6.33
50	478	51	-11721.8199999999	4000.0	1649.56276345253	0.1067999999999999	1707.4	6.3
51	487	52	-12169.599999999891	4000.0	1681.765011548996	0.1076	1820.88	6.3
52	497	53	-10901.379999999795	4000.0	1714.231014728546	0.106	1841.62	6.3
53	507	54	-7083.199999999949	4000.0	1747.0051033496857	0.1046	1722.78	6.25
54	516	55	-6842.639999999961	4000.0	1779.3911328315735	0.1062	1642.72	6.64
55	525	56	-6993.479999999969	4000.0	1811.7682905197144	0.1048	1692.66	6.62
56	535	57	-8096.799999999898	4000.0	1844.238968372345	0.1026	2060.1	6.88
57	544	58	-7904.539999999895	4000.0	1876.612434864044	0.0994	1997.92	6.9
58	554	59	-11097.759999999946	4000.0	1908.930048942566	0.0986	2200.92	7.1
59	563	60	-11430.199999999932	4000.0	1941.589859008789	0.0965999999999999	2283.43	7.28
60	572	61	-10302.279999999922	4000.0	1974.210267305374	0.0949999999999999	2016.8	7.19
61	581	62	-9123.539999999892	4000.0	2006.8812680244448	0.088	1827.49	7.24
62	591	63	-7749.199999999925	4000.0	2039.1959393024445	0.0834	1452.2	7.26
63	601	64	-7303.199999999928	4000.0	2071.4867613315582	0.0802	1312.06	7.3
64	611	65	-7493.879999999918	4000.0	2103.9810526371	0.079	1370.32	7.07
65	620	66	-8122.239999999892	4000.0	2136.5926637649536	0.0796	1553.78	7.11
66	629	67	-7569.399999999929	4000.0	2169.0090305805206	0.0759999999999999	1369.18	6.94
67	638	68	-6646.459999999981	4000.0	2201.232285261154	0.0784	1062.11	6.64
68	648	69	-4368.280000000008	4000.0	2233.711046218872	0.0785999999999999	944.63	6.57
69	657	70	-4005.480000000011	4000.0	2266.0727837085724	0.0747999999999999	850.19	6.49
70	666	71	-3653.7399999999952	4000.0	2298.676509141922	0.077	862.4	6.38
71	676	72	-4740.900000000072	4000.0	2331.1216402053838	0.079	895.98	6.3
72	687	73	-5157.620000000065	4000.0	2363.5169336795807	0.0798	958.64	5.83
73	696	74	-5540.720000000065	4000.0	2396.1300041675568	0.0815999999999999	1086.73	5.69
74	705	75	-5811.260000000057	4000.0	2428.7734365463257	0.0833999999999999	1177.6	5.7
75	714	76	-5615.000000000059	4000.0	2461.226571083069	0.0828	1116.86	5.64
76	723	77	-5893.0600000001	4000.0	2493.413970708847	0.085	1030.51	5.32
77	733	78	-5896.760000000094	4000.0	2525.8797132968903	0.0847999999999999	1031.92	5.22
78	742	79	-6122.580000000085	4000.0	2558.4736289978027	0.0858	1077.05	4.92
79	751	80	-5537.340000000015	4000.0	2591.003845691681	0.0915999999999999	1079.51	4.79
80	761	81	-6300.240000000094	4000.0	2623.452046394348	0.0922	1135.14	4.74
81	770	82	-5831.3800000001	4000.0	2655.992021083832	0.092	1102.58	4.6
82	781	83	-5566.040000000092	4000.0	2688.3075025081635	0.0942	1090.95	4.58
83	790	84	-5500.260000000089	4000.0	2720.567398071289	0.0975999999999999	1069.52	4.35
84	799	85	-5140.540000000103	4000.0	2752.8008046150208	0.1003999999999999	950.15	4.34
85	808	86	-4838.080000000108	4000.0	2785.368788719177	0.0986	849.03	3.82
86	818	87	-5590.700000000127	4000.0	2817.882159471512	0.0999999999999999	941.2	4.03
87	828	88	-5226.340000000089	4000.0	2850.236319541931	0.0993999999999999	948.95	4.07
88	837	89	-5232.960000000096	4000.0	2882.7285890579224	0.0996	949.2	4.23
89	846	90	-6701.180000000154	4000.0	2914.9519407749176	0.0996	1028.16	4.53
90	855	91	-5544.420000000101	4000.0	2947.232838153839	0.0978	895.02	4.35
91	866	92	-4565.7600000000375	4000.0	2979.764096260071	0.0948	793.57	4.07
92	875	93	-4397.480000000038	4000.0	3012.2600712776184	0.0895999999999999	736.88	4.09
93	884	94	-4392.380000000048	4000.0	3044.857064962387	0.0854	734.48	4.12
94	893	95	-4279.780000000043	4000.0	3077.549294948578	0.0802	696.08	3.94
95	902	96	-4109.000000000049	4000.0	3110.0572078228	0.08	639.12	3.69
96	912	97	-3946.420000000059	4000.0	3142.2088465690613	0.0802	572.71	3.82
97	922	98	-2797.1600000000494	4000.0	3174.364108324051	0.08	424.16	3.52
98	931	99	-2693.9000000000437	4000.0	3206.633915662765	0.0832	390.31	3.28
99	940	100	-2746.960000000038	4000.0	3239.4951498508453	0.0845999999999999	410.01	3.18
100	949	101	-2163.2800000000075	4000.0	3271.798675060272	0.0847999999999999	448.74	3.39
101	959	102	-2526.019999999988	4000.0	3304.1838896274567	0.0894	516.64	3.75
102	969	103	-2465.1999999999907	4000.0	3336.761892080307	0.0944	497.13	3.66
103	979	104	-3061.4999999999795	4000.0	3369.280341386795	0.0945999999999999	603.36	3.59
104	988	105	-3133.4199999999696	4000.0	3401.5013830661774	0.1009999999999999	628.33	3.73
105	997	106	-3670.639999999964	4000.0	3433.642489671707	0.1031999999999999	807.77	4.18
106	1006	107	-3646.159999999966	4000.0	3466.27392578125	0.1056	800.08	4.21
