	episodes_total	training_iteration	episode_reward_mean	episode_len_mean	time_total_s	custom_metrics/capture_rate_mean	custom_metrics/collisions_mean	custom_metrics/collisions_with_obstacles_mean
0	6	1	-2469.000000000016	4000.0	24.705493450164795	0.03	761.3333333333334	0.0
1	15	2	-3804.133333333247	4000.0	57.31831407546997	0.0786666666666666	1214.0	4.733333333333333
2	24	3	-4729.333333333166	4000.0	90.06681728363037	0.0816666666666666	1523.6666666666667	5.416666666666667
3	34	4	-8466.411764705797	4000.0	122.65865468978882	0.0852941176470588	1989.735294117647	6.176470588235294
4	45	5	-7908.755555555427	4000.0	155.51870203018188	0.0813333333333333	1830.8	5.844444444444444
5	54	6	-8034.925925925769	4000.0	188.448753118515	0.0796296296296296	1729.351851851852	5.685185185185185
6	63	7	-7151.142857142725	4000.0	221.1278624534607	0.0761904761904761	1561.920634920635	5.4603174603174605
7	72	8	-8061.277777777677	4000.0	254.12017369270325	0.0752777777777777	1586.236111111111	5.5
8	81	9	-7261.283950617198	4000.0	287.04207968711853	0.0758024691358024	1436.0493827160494	5.37037037037037
9	90	10	-6769.022222222135	4000.0	319.77583265304565	0.0762222222222222	1364.9888888888888	5.366666666666666
10	100	11	-6280.679999999918	4000.0	352.2350652217865	0.079	1286.48	5.38
11	109	12	-6093.399999999923	4000.0	384.89956855773926	0.0834	1224.72	5.83
12	119	13	-5589.539999999957	4000.0	417.3957738876343	0.0812	1056.47	5.83
13	129	14	-4773.219999999965	4000.0	450.113073348999	0.0827999999999999	902.86	5.52
14	138	15	-6240.660000000028	4000.0	483.1704204082489	0.0836	799.83	5.38
15	147	16	-5810.500000000069	4000.0	515.8871183395386	0.0852	726.95	4.97
16	156	17	-5609.600000000092	4000.0	548.3903551101685	0.091	746.55	4.98
17	166	18	-5789.040000000062	4000.0	581.1104011535645	0.0952	854.5	4.99
18	175	19	-5375.799999999993	4000.0	613.5789103507996	0.1027999999999999	888.87	5.08
19	184	20	-5394.280000000004	4000.0	646.1797862052917	0.1028	866.32	5.25
