	episodes_total	training_iteration	episode_reward_mean	episode_len_mean	time_total_s	custom_metrics/capture_rate_mean	custom_metrics/collisions_mean	custom_metrics/collisions_with_obstacles_mean
0	6	1	-7177.999999999544	4000.0	19.907631874084476	0.06	2333.6666666666665	4.333333333333333
1	15	2	-4775.733333333175	4000.0	51.9981255531311	0.0453333333333333	1532.8	3.466666666666667
2	24	3	-4589.999999999815	4000.0	83.84682631492615	0.06	1473.3333333333333	5.0
3	33	4	-13095.212121212386	4000.0	115.54698753356934	0.0684848484848485	2070.6363636363635	5.818181818181818
4	42	5	-15127.333333333623	4000.0	147.41316413879397	0.0733333333333333	2446.0	6.047619047619048
5	51	6	-12491.529411764946	4000.0	179.55782103538513	0.0635294117647058	2014.9019607843136	5.2745098039215685
6	60	7	-11701.733333333488	4000.0	211.44353532791135	0.0653333333333333	1958.4	5.116666666666666
7	71	8	-10021.718309859296	4000.0	243.3510158061981	0.0690140845070422	1691.2676056338028	5.098591549295775
8	80	9	-9195.92500000013	4000.0	274.7529637813568	0.07175	1595.6	5.3375
9	90	10	-9256.40000000011	4000.0	306.6246314048767	0.0733333333333333	1695.3777777777775	5.533333333333333
10	99	11	-8701.71717171727	4000.0	338.2820956707001	0.0753535353535353	1618.111111111111	5.646464646464646
11	108	12	-9197.200000000084	4000.0	370.0840673446655	0.0776	1770.51	5.83
12	117	13	-9736.40000000006	4000.0	402.0989935398102	0.0815999999999999	1880.63	5.75
13	126	14	-10120.180000000086	4000.0	433.6482691764832	0.0853999999999999	1887.13	5.68
14	136	15	-9226.30000000004	4000.0	465.3395392894745	0.0889999999999999	1797.89	5.57
15	146	16	-8194.819999999963	4000.0	496.89580965042114	0.0941999999999999	1714.01	5.59
16	156	17	-8817.179999999958	4000.0	528.8277986049652	0.0993999999999999	1836.8	5.54
17	165	18	-8517.779999999982	4000.0	560.8784077167511	0.0982	1801.21	5.29
18	174	19	-8535.979999999972	4000.0	592.8614661693573	0.0978	1786.96	4.86
19	183	20	-9287.02	4000.0	624.7538948059082	0.1009999999999999	1781.86	4.41
20	192	21	-8590.219999999983	4000.0	656.4439272880554	0.0978	1633.04	3.83
21	202	22	-8477.679999999993	4000.0	688.2565197944641	0.0942	1561.06	3.53
22	211	23	-7849.160000000041	4000.0	720.0988757610321	0.0945999999999999	1332.61	3.2
23	220	24	-7538.100000000047	4000.0	751.7089788913727	0.0956	1278.71	3.06
24	230	25	-6318.3599999999415	4000.0	783.4333896636963	0.0938	1179.57	2.75
25	240	26	-4952.319999999977	4000.0	815.4598712921143	0.087	936.8	2.3
26	249	27	-4579.179999999989	4000.0	847.4956498146057	0.0815999999999999	841.58	1.99
