Episode	EpLen	EpRet	CaptureRate	Collisions	CollisionsWithObstacles	QLoss	PLoss	HaveLoss	Time(s)
0	0	-1247.2500000000095	0.22	1	8	nan	nan	False	5.481
1	500	-8.500000000000128	0.36	0	7	nan	nan	False	4.221
2	500	-20.000000000000178	0.08	0	7	nan	nan	False	4.46
3	500	-12.500000000000124	0.2	0	8	nan	nan	False	4.203
4	500	-33.749999999999794	0.1	0	8	nan	nan	False	4.518
5	500	-6.000000000000194	0.4	0	7	nan	nan	False	4.215
6	500	-24.499999999999694	0.44	0	5	nan	nan	False	4.143
7	500	-1059.5000000000066	0.2	1	7	nan	nan	False	4.523
8	500	-8.75	0.26	0	7	nan	nan	False	4.204
9	500	-245.99999999999983	0.16	1	8	nan	nan	False	4.328
10	500	-2.2500000000000573	0.46	0	6	nan	nan	False	4.262
11	500	-6.250000000000107	0.3	0	7	nan	nan	False	4.38
12	500	-46.50000000000102	0.28	0	7	nan	nan	False	4.282
13	500	-7.038813976123492e-14	0.4	0	5	nan	nan	False	4.232
14	500	-8.75000000000012	0.26	0	7	nan	nan	False	4.387
15	500	-1262.5000000000098	0.36	1	7	nan	nan	False	4.365
16	500	-14.25000000000011	0.46	0	5	nan	nan	False	3.946
17	500	-5.000000000000201	0.32	0	7	nan	nan	False	4.184
18	500	-10.000000000000153	0.24	0	7	nan	nan	False	4.543
19	500	-15.500000000000163	0.2	0	6	nan	nan	False	4.367
20	500	-17.25000000000012	0.22	0	8	nan	nan	False	4.431
21	500	-7.250000000000026	0.38	0	6	nan	nan	False	4.697
22	500	-13.500000000000156	0.28	0	7	nan	nan	False	4.468
23	500	-30.49999999999989	0.2	0	6	nan	nan	False	4.399
24	500	-13.249999999999993	0.38	0	5	nan	nan	False	4.157
25	500	-6.000000000000011	0.4	0	7	nan	nan	False	4.366
26	500	-28.749999999999943	0.18	0	7	nan	nan	False	4.359
27	500	-15.999999999999902	0.46	0	6	nan	nan	False	4.118
