Epoch	MAEnvIterations	TotalEnvInteracts	EpLen	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageCaptureRate	StdCaptureRate	MaxCaptureRate	MinCaptureRate	AverageCollisions	StdCollisions	MaxCollisions	MinCollisions	AverageCollideObstacles	StdCollideObstacles	MaxCollideObstacles	MinCollideObstacles	AverageVVals	StdVVals	MaxVVals	MinVVals	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	Time	Processes	Agents
0	500	2000	500.0	-30.225	1.0076785	-28.325	-31.25	0.0	0.0	0.0	0.0	124.333336	16.719915	151.0	103.0	0.5	0.5	1.0	0.0	-0.0042767925	0.02299267	0.06536359	-0.06533516	-0.00020565838	26.406448	0.0	-23.917917	1.6086954	3.9736454e-11	6.05620551109314	6	4
1	1000	4000	422.5	-25.904165	6.53064	-13.025	-30.5	0.33333334	0.4714045	1.0	0.0	114.0	36.432587	161.0	41.0	0.5	0.5	1.0	0.0	-4.933904	0.06150055	-4.696691	-5.1287985	7.495905e-05	1.9331449	0.0	-0.47912905	1.6085219	3.6756198e-10	12.47810173034668	6	4
2	1500	6000	348.0	-21.329166	9.79437	-10.65	-32.25	0.5	0.5	1.0	0.0	88.166664	40.527424	145.0	40.0	1.0	0.57735026	2.0	0.0	-5.5931473	0.09641381	-5.172942	-5.8384094	0.00097007555	2.077058	0.0	-0.08400168	1.6084013	9.934108e-10	18.545398235321045	6	4
3	2000	8000	421.33334	-26.2875	11.172079	-1.45	-32.5	0.16666667	0.372678	1.0	0.0	126.833336	52.0686	161.0	12.0	1.0	0.57735026	2.0	0.0	-5.4839206	0.13093252	-5.077838	-5.8388395	5.7838857e-05	0.9233894	0.0	-0.24773872	1.6084685	-9.0400376e-10	24.50096321105957	6	4
4	2500	10000	500.0	-31.533333	1.4468118	-29.475	-33.95	0.0	0.0	0.0	0.0	131.33333	15.765645	158.0	114.0	0.5	0.7637626	2.0	0.0	-5.9590187	0.10900816	-5.543475	-6.3339276	-7.507205e-05	0.5968312	0.0	-0.08366635	1.6084331	-1.0927518e-10	30.81715488433838	6	4
5	3000	12000	500.0	-29.758333	1.3469615	-27.6	-31.975	0.0	0.0	0.0	0.0	122.166664	25.686682	176.0	103.0	0.5	0.5	1.0	0.0	-6.1865764	0.13792375	-5.7624874	-6.77447	-9.685755e-06	0.5598972	0.0	-0.062322985	1.6082721	1.8874806e-10	37.125221729278564	6	4
6	3500	14000	500.0	-30.983335	1.9554763	-28.475	-34.675	0.0	0.0	0.0	0.0	120.666664	14.079141	147.0	104.0	1.0	0.0	1.0	1.0	-6.061507	0.1510388	-5.477494	-6.474479	0.0016996711	0.66069436	0.0	-0.06960381	1.6080564	6.655852e-10	43.439557790756226	6	4
7	4000	16000	302.5	-18.715626	11.869103	-2.675	-33.175	0.625	0.48412293	1.0	0.0	74.75	49.527138	143.0	8.0	0.625	0.69597054	2.0	0.0	-6.1516304	0.18204957	-5.4962425	-6.8360004	5.8243673e-05	3.1224678	0.0	-0.6166812	1.6079317	-7.053216e-10	49.7567195892334	6	4
8	4500	18000	484.0	-29.470835	2.625175	-23.825	-31.55	0.16666667	0.37267798	1.0	0.0	125.333336	29.11853	164.0	80.0	0.6666667	0.47140452	1.0	0.0	-5.530511	0.26348117	-4.6559296	-6.2535043	0.00086120766	1.2661253	0.0	-0.13458845	1.6078972	-1.5894573e-10	56.136295557022095	6	4
9	5000	20000	463.0	-28.983332	4.0016313	-20.325	-31.775	0.16666667	0.372678	1.0	0.0	126.666664	23.456816	144.0	77.0	1.0	0.8164966	2.0	0.0	-5.7747755	0.19216762	-5.1019464	-6.4768744	-4.166613e-05	0.9535993	0.0	-0.07172326	1.6077914	1.1622906e-09	62.093270778656006	6	4
10	5500	22000	477.0	-29.516668	3.0787468	-22.8	-31.475	0.16666667	0.372678	1.0	0.0	123.5	12.284815	138.0	103.0	0.16666667	0.372678	1.0	0.0	-5.867884	0.22010869	-4.956739	-6.5636163	0.0008812572	1.0938483	0.0	-0.14763974	1.607782	-6.6558514e-10	68.50083541870117	6	4
11	6000	24000	426.16666	-26.016668	10.027355	-3.625	-31.425	0.33333334	0.4714045	1.0	0.0	116.833336	44.258396	143.0	19.0	1.1666666	0.6871843	2.0	0.0	-5.99666	0.23169039	-4.9200606	-6.841009	-0.00027092794	1.7024837	0.0	-0.21208309	1.6077703	1.4901158e-10	74.88427996635437	6	4
12	6500	26000	287.33334	-17.691668	13.59098	-1.175	-32.5	0.5	0.5	1.0	0.0	76.5	56.576645	134.0	7.0	0.16666667	0.372678	1.0	0.0	-5.7685	0.27948785	-4.1864457	-6.799661	0.000695241	1.5919632	0.0	-0.15815043	1.6077343	1.4503797e-09	81.21852278709412	6	4
13	7000	28000	423.66666	-26.775	11.052715	-2.55	-33.725	0.16666667	0.372678	1.0	0.0	125.333336	57.560596	189.0	10.0	0.5	0.7637626	2.0	0.0	-5.65453	0.31122872	-4.4839215	-6.7065988	-0.00032263994	1.190189	0.0	-0.32272825	1.6077541	2.1855036e-10	87.60120129585266	6	4
14	7500	30000	433.33334	-27.020834	5.1045814	-19.7	-32.625	0.5	0.5	1.0	0.0	122.666664	27.968235	159.0	74.0	0.5	0.5	1.0	0.0	-6.095358	0.35042098	-4.7515125	-7.1826878	0.00058023137	2.6591158	0.0	-0.67380553	1.6077547	-1.688798e-10	93.96105742454529	6	4
15	8000	32000	433.66666	-24.6875	8.349186	-6.6	-32.325	0.16666667	0.37267798	1.0	0.0	110.333336	43.622116	159.0	22.0	0.33333334	0.4714045	1.0	0.0	-5.6419253	0.27820197	-4.635687	-7.1291003	-0.00033916035	0.96581143	0.0	-0.13514791	1.6078221	3.1789146e-10	100.33238339424133	6	4
16	8500	34000	207.33333	-12.375	11.902451	-2.45	-30.0	0.8333333	0.372678	1.0	0.0	51.833332	39.93919	121.0	21.0	0.5	0.5	1.0	0.0	-5.570024	0.24366745	-4.6076016	-6.578038	0.00025169054	2.494642	0.0	-0.23313706	1.6078581	9.437402e-10	106.67119526863098	6	4
17	9000	36000	361.83334	-23.416666	11.282534	-1.775	-34.075	0.5	0.5	1.0	0.0	89.166664	42.900726	126.0	5.0	0.5	0.5	1.0	0.0	-5.32192	0.27966726	-4.3009515	-6.34355	-0.00053512055	2.0826757	0.0	-0.3671175	1.6079031	-3.178914e-10	112.98636102676392	6	4
18	9500	38000	424.83334	-24.308334	9.797764	-2.425	-29.425	0.16666667	0.372678	1.0	0.0	99.833336	41.838646	153.0	15.0	0.5	0.5	1.0	0.0	-5.740922	0.32286108	-4.609375	-6.913944	0.00035667606	0.8471287	0.0	-0.13210134	1.6078583	-5.9604655e-11	119.33728766441345	6	4
19	10000	40000	500.0	-29.108332	1.3540578	-27.15	-30.975	0.0	0.0	0.0	0.0	123.0	10.551461	140.0	105.0	0.5	0.5	1.0	0.0	-5.7186804	0.24793163	-4.603866	-6.433283	-9.498497e-05	0.37717697	0.0	-0.052861232	1.6079012	-5.960465e-10	125.71077346801758	6	4
20	10500	42000	500.0	-30.179167	1.6880351	-27.825	-33.075	0.0	0.0	0.0	0.0	131.33333	20.063787	174.0	115.0	0.8333333	0.68718433	2.0	0.0	-5.822492	0.19251743	-5.015255	-6.532679	-0.00087092567	0.5379596	0.0	-0.09093597	1.6079193	4.4703485e-10	132.12261486053467	6	4
21	11000	44000	340.42856	-21.79643	12.064525	-1.55	-32.6	0.42857143	0.49487165	1.0	0.0	91.28571	52.654438	156.0	7.0	0.42857143	0.49487165	1.0	0.0	-6.070821	0.24790874	-4.9296703	-6.776084	1.2050073e-05	1.9944831	0.0	-0.34133613	1.6078501	4.768371e-10	138.4934206008911	6	4
22	11500	46000	423.0	-25.104166	10.292984	-2.275	-31.975	0.16666667	0.372678	1.0	0.0	101.166664	43.766106	148.0	8.0	0.5	0.5	1.0	0.0	-5.7745705	0.32143295	-4.573835	-7.0243015	0.0008134966	0.780297	0.0	-0.1581123	1.6078367	3.3775968e-10	144.85493969917297	6	4
23	12000	48000	397.16666	-24.179167	9.406463	-8.85	-31.4	0.33333334	0.4714045	1.0	0.0	104.0	42.868015	167.0	42.0	0.6666667	0.47140452	1.0	0.0	-5.861815	0.26247942	-4.74438	-6.907622	0.00062979263	1.6713176	0.0	-0.19818468	1.6078318	-3.2782554e-10	151.19973850250244	6	4
24	12500	50000	421.0	-26.058334	11.056339	-1.65	-34.5	0.16666667	0.37267798	1.0	0.0	114.166664	51.04056	156.0	8.0	0.8333333	0.6871843	2.0	0.0	-5.80345	0.37193945	-4.4269686	-7.219823	0.00039917105	0.9649759	0.0	-0.16549613	1.6078373	-7.4505807e-10	157.52658820152283	6	4
25	13000	52000	453.83334	-27.270834	6.8856344	-12.225	-32.9	0.16666667	0.372678	1.0	0.0	132.0	38.74274	176.0	53.0	0.5	0.7637626	2.0	0.0	-6.0523143	0.28628853	-4.9557424	-7.2673936	0.0006853671	1.2906281	0.0	-0.1995585	1.6079	-7.45058e-10	163.89285469055176	6	4
26	13500	54000	492.0	-28.908333	1.8317035	-27.2	-31.65	0.16666667	0.37267798	1.0	0.0	115.5	15.96611	137.0	91.0	0.16666667	0.372678	1.0	0.0	-5.7575793	0.33105445	-4.0503855	-6.9755173	-0.0013169249	1.0489707	0.0	-0.14999358	1.607984	2.9802327e-11	170.2360439300537	6	4
27	14000	56000	377.0	-23.704168	11.043959	-5.125	-33.975	0.33333334	0.4714045	1.0	0.0	111.166664	56.27734	166.0	18.0	0.33333334	0.745356	2.0	0.0	-5.755905	0.36032653	-4.2616096	-7.1355467	-7.714083e-05	1.629581	0.0	-0.34446612	1.6080078	2.6822092e-10	176.5653018951416	6	4
28	14500	58000	436.16666	-26.2875	9.185708	-6.175	-33.6	0.16666667	0.37267798	1.0	0.0	106.666664	44.913498	166.0	22.0	0.33333334	0.4714045	1.0	0.0	-5.8198557	0.2806036	-4.618074	-7.034795	-6.109476e-05	1.2005914	0.0	-0.1485755	1.6079932	-6.45717e-10	182.89785599708557	6	4
29	15000	60000	304.16666	-18.137499	10.2941	-0.85	-30.925	0.6666667	0.47140452	1.0	0.0	74.166664	39.905792	124.0	4.0	0.5	0.7637626	2.0	0.0	-5.8191786	0.27600053	-4.6293063	-6.9483557	0.00024327636	2.1875868	0.0	-0.42544624	1.6080154	1.5894573e-10	189.2620930671692	6	4
